"BSTNUM";"MUTKOD";"VERVALLEN";"BACKUPID";"LAATSTE";"ExterneCode";"GPKODE";"NMMEMO";"NMETIK";"NMNM40";"NMNAAM";"GSKODE";"THKTVR";"GPKTVR";"THKTWG";"GPKTWG";"GPNMNR";"GPSTNR";"GPINST";"GPMLCI";"GPMLCT";"GPADVP";"GPTCVP";"THKHVS";"GPKHVS";"SPKODE";"THSTWG";"SSKTWG";"ATCODE";"THEHHV";"XPEHHV";"VRSCHEHTH";"VRSCHEHIT";"SourceCode"
"0711";"9";0;"";"01-07-2018";"";"90052048";PEMBI2;"19 0333 PEMBROLIZUMAB";"19 0333 PEMBROLIZUMAB";"19-0333 PEMBROLIZUMAB INFOPL CONC 25MG/ML FL 4ML";"99987651";"0006";"000541";"0007";"000010";"9991398";"0271911";"25MG/ML";"000";"00000000";"092";"00000004";"1012";"";"";"0058";"000006";"19-0333";"0002";"000233";"";"";
"0711";"9";1;"";"01-07-2018";"";"90052188";"";ECULIZUMAB 10MG/ML INFOPL C;ECULIZUMAB;"19-0236 ECULIZUMAB INFOPL CONC 10MG/ML FL 30ML";"99987627";"0006";"000541";"0007";"000010";"9991395";"0238320";"10MG/ML";"000";"00000000";"092";"00000004";"1012";"";"00058564";"0058";"000006";"19-0236";"0002";"000233";"";"";
"0711";"9";0;"";"01-07-2018";"";"90052331";"";"19 0333 LENVATINIB";"19 0333 LENVATINIB";"19-0333 LENVATINIB CAPSULE 10MG V/P";"99987597";"0006";"000300";"0007";"000009";"9991392";"0279270";"10MG";"000";"00000000";"092";"00000004";"1012";"";"";"0058";"000004";"19-0333";"0002";"000245";"";"";
"0711";"9";0;"";"01-07-2018";"";"90052382";"";"19 0333 LENVATINIB";"19 0333 LENVATINIB";"19-0333 LENVATINIB CAPSULE 4MG V/P";"99987589";"0006";"000300";"0007";"000009";"9991391";"0279270";"4MG";"000";"00000000";"092";"00000004";"1012";"";"";"0058";"000004";"19-0333";"0002";"000245";"";"";
"0711";"0";0;"";"01-01-2021";"";"00178233";LORLT2;LORLATINIB 25MG TABLET;LORLATINIB;LORLATINIB TABLET  25MG;"00148369";"0006";"000230";"0007";"000009";"0307047";"0307048";"25MG";"000";"00000000";"092";"00000004";"1012";"";"00067539";"0058";"000004";L01ED05;"0002";"000245";"";"";
"0711";"9";0;"";"";"";"90053273";"";"19 0449 VX-561 50MG";"19 0449 VX-561 50MG";"19-0449 VX-561 50MG TABLET V/P";"99987422";"0006";"000230";"0007";"000009";"9991377";"";"50MG";"";"";"";"";"1012";"";"";"0058";"";"19-0449";"0002";"000245";"";"";
"0711";"9";0;"";"";"";"90053591";"";"18 1686 IVSS";"18 1686 IVSS";"18-1686 IV Solution stabilizer";"99987341";"0006";"000079";"0007";"";"9991370";"";"10ML";"";"";"";"";"1012";"";"";"0058";"";"18-1686";"0002";"000233";"";"";
"0711";"9";1;"";"";"";"90054040";"";"";"";"19-0318 SGM-101 10 mg/2 ml conc v inf opl";"99987244";"0006";"000540";"0007";"000005";"9991361";"";"1";"";"";"";"";"1012";"";"";"0058";"";"69-218";"0002";"000245";"";"";
"0711";"0";0;"";"01-04-2023";"";"00062405";THEOT2;THEOFYLLINE 250MG CAPS MGA;THEOFYLLINE;THEOFYLLINE CAPSULE MGA 250MG;"00056502";"0006";"000350";"0007";"000009";"0062459";"0033193";"250MG";"000";"00000000";"092";"00000004";"1012";"000002";"00002682";"0058";"000004";R03DA04;"0002";"000245";"";"";
"0711";"0";0;"";"01-08-2020";"";"00177660";CAPLI1;CAPLACIZUMAB 10MG INJPDR;CAPLACIZUMAB;CAPLACIZUMAB INJECTIEPOEDER 10MG;"00147923";"0006";"000552";"0007";"000010";"0305862";"0305863";"10MG";"000";"00000000";"092";"00000004";"1012";"";"00067458";"0058";"000006";B01AX07;"0002";"000245";"";"";
"0711";"1";1;"";"01-04-2021";"";"00178101";CARBT;CARBAMAZEPINE TABLET AFBOUW;CARBAMAZEPINE;CARBAMAZEPINE TABLET AFBOUW;"00148245";"0006";"000230";"0007";"000009";"0306744";"0032807";"";"000";"00000000";"092";"00000004";"1012";"000002";"00001465";"0058";"000004";N03AF01;"0002";"000245";"";"";
"0711";"1";1;"";"01-04-2021";"";"00178128";OLANT;OLANZAPINE TABLET AFBOUW;OLANZAPINE;OLANZAPINE TABLET AFBOUW;"00148253";"0006";"000230";"0007";"000009";"0306747";"0071324";"";"000";"00000000";"092";"00000004";"1012";"000002";"00048135";"0058";"000004";N05AH03;"0002";"000245";"";"";
"0711";"0";0;"";"01-05-2022";"";"00178136";IBUPV4;IBUPROFEN 40MG/ML SUSPENSIE;IBUPROFEN;IBUPROFEN SUSP ORAAL 40MG/ML;"00148261";"0006";"000480";"0007";"000009";"0306751";"0028654";"40MG/ML";"060";"00000023";"092";"00000004";"1012";"";"00000132";"0058";"000004";M01AE01;"0002";"000233";"";"";
"0711";"1";1;"";"01-04-2021";"";"00178144";TEMAT;TEMAZEPAM TABLET AFBOUW;TEMAZEPAM;TEMAZEPAM TABLET AFBOUW;"00148288";"0006";"000230";"0007";"000009";"0306848";"0028472";"";"000";"00000000";"031";"00000002";"1012";"000002";"00008710";"0058";"000004";N05CD07;"0002";"000245";"";"";
"0711";"9";0;"";"";"";"90054083";DEC;DIETHYLCARBAMAZINE TAB 50MG;DIETHYLCARBAMAZINE TABLET 50MG;DIETHYLCARBAMAZINE TABLET 50MG;"99987236";"0006";"000230";"0007";"000009";"9991360";"";"50MG";"";"";"";"";"1012";"";"";"0058";"";P02CB02;"0002";"000229";"";"";
"0711";"9";0;"";"";"";"90054563";"";"19 0402 AL001 50MG/ML";"19 0402 AL001";"19-0402 AL001 INF CONC 50MG/ML FL 20ML";"99987120";"0006";"000541";"0007";"000005";"9991351";"";"50MG/ML";"";"";"";"";"1012";"";"";"0058";"";"19-0402";"0002";"000233";"";"";
"0711";"9";0;"";"";"";"90055721";"";"19 0070 Talazoparib 1mg";"19 0070 Talazoparib 1mg";"19-0070 TALAZOPARIB CAPSULE 1MG 30ST BULK";"99986809";"0006";"000300";"0007";"000009";"9991328";"";"1MG";"";"";"";"";"1012";"";"";"0058";"";"19-0070";"0002";"000245";"";"";
"0711";"1";1;"";"01-11-2021";"";"00178152";MEXIT1;MEXILETINE 167MG CAPSULE;MEXILETINE;MEXILETINE CAPSULE 167MG (HCL);"00148296";"0006";"000300";"0007";"000009";"0306855";"0061501";"167MG";"000";"00000000";"092";"00000004";"1012";"";"00024686";"0058";"000004";C01BB02;"0002";"000245";"";"";
"0711";"9";0;"";"01-07-2018";"";"90049764";"";"19 0216 OSIMERTINIB 40MG";"19 0216 OSIMERTINIB";"19-0216 OSIMERTINIB TABLET 40MG FL 30ST";"99988186";"0006";"000230";"0007";"000009";"9991442";"0276337";"40MG";"000";"00000000";"092";"00000004";"1012";"";"";"0058";"000004";"19-0216";"0002";"000245";"";"";
"0711";"9";0;"";"01-07-2018";"";"90049802";"";"19 0216 OSIMERTINIB 80MG";"19 0216 OSIMERTINIB";"19-0216 OSIMERTINIB TABLET 80MG FL 30ST";"99988178";"0006";"000230";"0007";"000009";"9991441";"0276337";"80MG";"000";"00000000";"092";"00000004";"1012";"";"";"0058";"000004";"19-0216";"0002";"000245";"";"";
"0711";"9";0;"";"01-07-2018";"";"90049845";"";"19 0216 TRASTUZU EMTA 100MG";"19 0216 TRASTUZUMAB EMTANSINE";"19-0216 TRASTUZUMAB EMTANSINE INFPDR 100MG";"99988151";"0006";"000553";"0007";"000010";"9991440";"0255857";"100MG";"000";"00000000";"092";"00000004";"1012";"";"";"0058";"000006";"19-0216";"0002";"000245";"";"";
"0711";"9";0;"";"01-07-2018";"";"90049896";"";"19 0216 TRASTUZU EMTA 160MG";"19 0216 TRASTUZUMAB EMTANSINE";"19-0216 TRASTUZUMAB EMTANSINE INFPDR 160MG";"99988143";"0006";"000553";"0007";"000010";"9991439";"0255857";"160MG";"000";"00000000";"092";"00000004";"1012";"";"00060151";"0058";"000006";"19-0216";"0002";"000245";"";"";
"0711";"9";0;"";"01-07-2018";"";"90049942";"";"19 0332 PEMBROLIZUMAB";"19 0332 PEMBROLIZUMAB";"19-0332 PEMBROLIZUMAB INFOPL CONC 25MG/ML FL 4ML";"99988135";"0006";"000541";"0007";"000010";"9991438";"0271911";"25MG/ML";"000";"00000000";"092";"00000004";"1012";"";"";"0058";"000006";"19-0332";"0002";"000233";"";"";
"0711";"9";0;"";"01-07-2018";"";"90049985";"";"19 0332 OLAPARIB 100MG";"19 0332 OLAPARIB";"19-0332 OLAPARIB TABLET 100MG";"99988127";"0006";"000230";"0007";"000009";"9991437";"0265763";"100MG";"000";"00000000";"092";"00000004";"1012";"";"";"0058";"000004";"19-0332";"0002";"000245";"";"";
"0711";"9";0;"";"01-07-2018";"";"90050029";"";"19 0332 OLAPARIB 150MG";"19 0332 OLAPARIB";"19-0332 OLAPARIB TABLET 150MG";"99988119";"0006";"000230";"0007";"000009";"9991436";"0265763";"150MG";"000";"00000000";"092";"00000004";"1012";"";"";"0058";"000004";"19-0332";"0002";"000245";"";"";
"0711";"9";0;"";"";"";"90050169";"";"";"";"19-0331 AP01 INHVLST 12,5 mg/ml 4 ml";"99988089";"0006";"000432";"0007";"000062";"9991433";"";"12,5MG/ML";"";"";"";"";"1012";"";"";"0058";"";"19-0331";"0002";"000233";"";"";
"0711";"9";0;"";"01-01-2019";"";"90050274";"";"18 1494 Brigatinib 180 mg";"18 1494 Brigatinib";"18-1494 BRIGATINIB TABLET 180MG";"99988062";"0006";"000230";"0007";"000009";"9991431";"0303436";"180MG";"000";"00000000";"092";"00000004";"1012";"";"";"0058";"000004";"18-1494";"0002";"000245";"";"";
"0711";"9";0;"";"01-01-2019";"";"90050312";"";"18 1494 Brigatinib 90 mg";"18 1494 Brigatinib";"18-1494 BRIGATINIB TABLET  90MG";"99988054";"0006";"000230";"0007";"000009";"9991430";"0303436";"90MG";"000";"00000000";"092";"00000004";"1012";"";"";"0058";"000004";"18-1494";"0002";"000245";"";"";
"0711";"9";0;"";"01-01-2019";"";"90050355";"";"18 1494 BRIGATINIB 30mg";"18 1494 BRIGATINIB";"18-1494 BRIGATINIB TABLET  30MG";"99988046";"0006";"000230";"0007";"000009";"9991429";"0303436";"30MG";"000";"00000000";"092";"00000004";"1012";"";"";"0058";"000004";"18-1494";"0002";"000245";"";"";
"0711";"0";0;"";"01-01-2021";"";"00178241";LORLT1;LORLATINIB 100MG TABLET;LORLATINIB;LORLATINIB TABLET 100MG;"00148377";"0006";"000230";"0007";"000009";"0307050";"0307048";"100MG";"000";"00000000";"092";"00000004";"1012";"";"00067539";"0058";"000004";L01ED05;"0002";"000245";"";"";
"0711";"1";1;"";"01-04-2021";"";"00178403";ZOPIT;ZOPICLON TABLET AFBOUW;ZOPICLON;ZOPICLON TABLET AFBOUW;"00148520";"0006";"000230";"0007";"000009";"0307520";"0062491";"";"000";"00000000";"031";"00000002";"1012";"000002";"00035521";"0058";"000004";N05CF01;"0002";"000245";"";"";
"0711";"9";1;"";"";"";"90064828";"";"19-0067 GESTERILISEERDE DOP";"19-0067 GESTERILISEERDE DOP";"19-0067 GESTERILISEERDE DOPJES GRIJS";"99984830";"0006";"000000";"0007";"000001";"9991160";"0197569";"1";"";"";"";"";"1012";"";"";"0058";"000011";"19-0067";"0002";"000245";"0002";"000245";
"0711";"9";0;"";"";"";"90066979";"";"20 0091 BI1701963";"20 0091 BI1701963";"20-0091 BI1701963 TABLET 100MG 30ST";"99984393";"0006";"000230";"0007";"000009";"9991123";"";"100MG";"";"";"";"";"1012";"";"";"0058";"000004";"20-0091";"0002";"000245";"";"";
"0711";"9";0;"";"";"";"90067010";"";"20 0091 BI1701963";"20 0091 BI1701963";"20-0091 BI1701963 TABLET 250MG 30ST";"99984385";"0006";"000230";"0007";"000009";"9991122";"";"250MG";"";"";"";"";"1012";"";"";"0058";"000004";"20-0091";"0002";"000245";"";"";
"0711";"9";0;"";"";"";"90106105";"";"22 0514 NAMILUMAB 150MG/ML";"22 0514 NAMILUMAB";"22-0514 NAMILUMAB INJVLST 150MG/ML FL 1,2ML";"99975157";"0006";"000082";"0007";"000021";"9990114";"";"150MG/ML";"";"";"";"";"1012";"";"";"0058";"";"22-0514";"0002";"000233";"";"";""
"0711";"9";0;"";"";"";"90121457";"";"23 0004 BI 1015550 9/18MG/P";"23 0004 BI 1015550";"23-0004 BI 1015550 TABLET  9/18MG OF PLACEBO 112ST";"99971577";"0006";"000027";"0007";"000009";"9988755";"";"9/18MG/PLACEBO";"";"";"";"";"1012";"";"";"0058";"000004";"23-0004";"0002";"000245";"";"";""
"0711";"1";1;"";"01-09-2020";"";"00178160";PERII;PERIOMEGOMEL INF EMULSIE;PERIOMEGOMEL;PERIOMEGOMEL INF EMULSIE (OUD);"00148318";"0006";"000032";"0007";"000010";"0306864";"0306605";"";"000";"00000000";"092";"00000004";"1012";"";"00067512";"0058";"000006";B05BA10;"0002";"000233";"";"";
"0711";"9";0;"";"";"";"90049691";"";"";"";"18-1739 Tralokinumab wwsp 150 mg=1ml verum/placebo";"99988208";"0006";"000550";"0007";"000021";"9991443";"";"150MG/ML";"";"";"";"";"1012";"";"";"0058";"";"18-1739";"0002";"000233";"";"";
"0711";"9";0;"";"01-07-2018";"";"90051025";"";"19 0249 EDOXABAN 60MG";"19 0249 EDOXABAN";"19-0249 EDOXABAN TABLET 60MG 60ST";"99987899";"0006";"000230";"0007";"000009";"9991419";"0273259";"60MG";"000";"00000000";"092";"00000004";"1012";"";"00063169";"0058";"000004";"19-0249";"0002";"000245";"";"";
"0711";"9";0;"";"01-07-2018";"";"90051076";"";"19 0249 EDOXABAN 30MG";"19 0249 EDOXABAN";"19-0249 EDOXABAN TABLET 30MG 60ST";"99987880";"0006";"000230";"0007";"000009";"9991418";"0273259";"30MG";"000";"00000000";"092";"00000004";"1012";"";"00063169";"0058";"000004";"19-0249";"0002";"000245";"";"";
"0711";"9";1;"";"";"";"90052773";"";"16 183 RO7009789 10mg/ml";"16 183 RO7009789 (Selicrelumab)";"16-183 RO7009789 (Selicrelumab) 16 mg/1,6 ml sc";"99987481";"0006";"000551";"0007";"000021";"9991383";"";"10MG/ML";"";"";"";"";"1012";"";"";"0058";"";"16-183";"0002";"000233";"";"";
"0711";"9";0;"";"01-03-2019";"";"90053346";"";"19 0067 9-VALENT HPV-VACCIN";"19 0067 9-VALENT HPV-VACCIN";"19-0067 9-VALENT HPV-VACCIN INJSUSP WWS 0,5ML BULK";"99987414";"0006";"000021";"0007";"000002";"9991376";"0159968";"";"000";"00000000";"092";"00000004";"1012";"";"00055417";"0058";"000006";"19-0067";"0002";"000233";"";"";
"0711";"9";0;"";"01-07-2018";"";"90053389";APRET3;"6000 084 APREMILAST 30MG";"6000 084 APREMILAST";"6000-084 APREMILAST TABLET 30MG 56ST";"99987406";"0006";"000230";"0007";"000009";"9991375";"0270068";"30MG";"000";"00000000";"092";"00000004";"1012";"";"00062502";"0058";"000004";"6000-084";"0002";"000245";"";"";
"0711";"9";0;"";"01-07-2018";"";"90053478";PEMBI2;"18 1686 PEMBROLIZUMAB";"18 1686 PEMBROLIZUMAB";"18-1686 PEMBROLIZUMAB INFOPL CONC 25MG/ML FL 4ML";"99987384";"0006";"000541";"0007";"000010";"9991373";"0271911";"25MG/ML";"000";"00000000";"092";"00000004";"1012";"";"";"0058";"000006";"18-1686";"0002";"000233";"";"";
"0711";"9";0;"";"01-07-2018";"";"90053516";BLINI3;"18 1686 BLINATUMOMAB";"18 1686 BLINATUMOMAB";"18-1686 BLINATUMOMAB INFPDR FL 38,5MCG";"99987376";"0006";"000553";"0007";"000010";"9991372";"0274974";"38,5UG";"000";"00000000";"092";"00000004";"1012";"";"";"0058";"000006";"18-1686";"0002";"000245";"";"";
"0711";"9";1;"";"01-07-2018";"";"90053559";BLINI3;"18 1686 BLINATUMOMAB";"18 1686 BLINATUMOMAB";"18-1686 IV Solution stabilizer";"99987368";"0006";"000079";"0007";"000010";"9991371";"0274974";"10ML";"000";"00000000";"092";"00000004";"1012";"";"";"0058";"000006";"69-218";"0002";"000233";"";"";
"0711";"9";1;"";"";"";"90054156";"";"6000-083 ABT-888 100 mg";"6000-083 ABT-888 (Veliparib)";"6000-083 ABT-888 (Veliparib) 100 mg";"99987228";"0006";"000300";"0007";"000009";"9991359";"";"100MG";"";"";"";"";"1012";"";"";"0058";"";"6000-083";"0002";"000245";"";"";
"0711";"9";0;"";"01-09-2018";"";"90054628";"";"18 1599 TOFACITINIB 10MG";"18 1599 TOFACITINIB";"18-1599 TOFACITINIB TABLET 10MG 56ST";"99987112";"0006";"000230";"0007";"000009";"9991350";"0287447";"10MG";"000";"00000000";"092";"00000004";"1012";"";"00065455";"0058";"000004";"18-1599";"0002";"000245";"";"";
"0711";"9";1;"";"01-01-2019";"";"90055047";"";"6000 099 BRIGATINIB";"6000 099 BRIGATINIB";"6000-099 BRIGATINIB TABLET 180MG 28st";"99987015";"0006";"000230";"0007";"000009";"9991341";"0303436";"180MG";"000";"00000000";"092";"00000004";"1012";"";"00067180";"0058";"000004";"6000-099";"0002";"000245";"";"";
"0711";"9";0;"";"";"";"90075420";"";"";"";"7000-202 AG10 400MG OF PLACEBO TABLET 60ST";"99982390";"0006";"000027";"0007";"000009";"9990962";"";"400MG OF PLACEBO";"";"";"";"";"1012";"";"";"0058";"000004";"7000-202";"0002";"000245";"";"";
"0711";"0";0;"";"01-11-2020";"";"00183237";GLUCP3;GLUCAGON 3MG NEUSPOEDER;GLUCAGON;GLUCAGON NEUSPOEDER 3MG;"00152463";"0006";"000099";"0007";"000006";"0318177";"0032901";"3MG";"000";"00000000";"092";"00000004";"1012";"";"00068640";"0058";"000002";H04AA01;"0002";"000245";"";"";
"0711";"9";0;"";"";"";"90107209";"";"22 0051 BARICITINIB";"22 0051 BARICITINIB 4MG";"22-0051 BARICITINIB TABLET 4MG 28ST";"99974908";"0006";"000230";"0007";"000009";"9990019";"";"4MG";"";"";"";"";"1012";"";"";"0058";"";"22-0051";"0002";"000245";"";"";""
"0711";"1";1;"";"01-09-2020";"";"00178179";OMEGI;OMEGOMEL INF EMULSIE;OMEGOMEL;OMEGOMEL INF EMULSIE (OUD);"00148326";"0006";"000032";"0007";"000010";"0306865";"0306608";"";"000";"00000000";"092";"00000004";"1012";"";"00067512";"0058";"000006";B05BA10;"0002";"000233";"";"";
"0711";"9";0;"";"01-07-2018";"";"90051939";"";"19 0332 ENZALUTAMIDE 40MG";"19 0332 ENZALUTAMIDE";"19-0332 ENZALUTAMIDE CAPSULE 40MG";"99987686";"0006";"000300";"0007";"000009";"9991400";"0252397";"40MG";"000";"00000000";"092";"00000004";"1012";"";"";"0058";"000004";"19-0332";"0002";"000245";"";"";
"0711";"9";0;"";"01-07-2018";"";"90051971";"";"19 0332 ABIRATERON 250MG";"19 0332 ABIRATERON";"19-0332 ABIRATERON TABLET 250MG";"99987678";"0006";"000230";"0007";"000009";"9991399";"0240286";"250MG";"000";"00000000";"092";"00000004";"1012";"";"";"0058";"000004";"19-0332";"0002";"000245";"";"";
"0711";"9";0;"";"";"";"90052609";"";"19 0031 HYDRALAZINE HCL";"19 0031 HYDRALAZINE HCL";"19-0031 HYDRALAZINE HCL TABLET 25MG 30ST";"99987546";"0006";"000230";"0007";"000009";"9991387";"9999797";"25 MG";"";"";"";"";"1012";"";"";"0058";"000004";"19-0031";"0002";"000245";"";"";
"0711";"9";0;"";"";"";"90052641";"";"19 0031 HYDRALAZINE HCL";"19 0031 HYDRALAZINE HCL";"19-0031 HYDRALAZINE HCL TABLET 25MG BULK 30ST";"99987538";"0006";"000230";"0007";"000009";"9991386";"9999797";"25 MG";"";"";"";"";"1012";"";"";"0058";"000004";"19-0031";"0002";"000245";"";"";
"0711";"9";0;"";"01-07-2018";"";"90052692";"";"19 0031 VALPROINEZU 500MG";"19 0031 VALPROINEZUUR";"19-0031 VALPROINEZUUR TABLET MSR 500MG BULK 50ST";"99987511";"0006";"000250";"0007";"000009";"9991385";"0034501";"500MG";"000";"00000000";"092";"00000004";"1012";"";"";"0058";"000004";"19-0031";"0002";"000245";"";"";
"0711";"9";0;"";"01-07-2018";"";"90052730";"";"19 0031 VALPROINEZUUR 300MG";"19 0031 VALPROINEZUUR";"19-0031 VALPROINEZUUR TABLET MSR 300MG BULK 50ST";"99987503";"0006";"000250";"0007";"000009";"9991384";"0034501";"300MG";"000";"00000000";"092";"00000004";"1012";"";"";"0058";"000004";"19-0031";"0002";"000245";"";"";
"0711";"9";0;"";"01-07-2018";"";"90054741";"";"19 0194 BOTULINE A TOXINE";"19 0194 BOTULINE A TOXINE";"19-0194 BOTULINE A TOXINE INJECTIEPOEDER FL 100E";"99987082";"0006";"000552";"0007";"000010";"9991347";"0064274";"100E";"000";"00000000";"092";"00000004";"1012";"";"00046221";"0058";"000006";"19-0194";"0002";"000245";"";"";
"0711";"9";0;"";"01-07-2019";"";"90055209";OLIMI;"18-1452 OLIMEL N12 INF";"18-1452 OLIMEL N12 INF";"18-1452 OLIMEL INFUSIE-EMULSIE N12 ZAK 1L";"99986957";"0006";"000032";"0007";"000010";"9991338";"0307133";"";"000";"00000000";"092";"00000004";"1012";"";"00057800";"0058";"000006";"18-1452";"0002";"000233";"";"";
"0711";"9";0;"";"01-09-2019";"";"90055241";GLUCI5;"18-1452 INF GLUC 5% VIAFL";"18-1452 INF GLUC 5% VIAFL";"18-1452 INFVLS GLUCOSUM 50MG/ML VIAFLO ZAK 1000ML";"99986949";"0006";"000540";"0007";"000010";"9991337";"0061031";"50MG/ML";"000";"00000000";"092";"00000004";"1012";"";"00003646";"0058";"000006";"18-1452";"0002";"000233";"";"";
"0711";"9";0;"";"01-07-2019";"";"90055292";OLIMI;"18-1452 OLIMEL N12 INF";"18-1452 OLIMEL N12 INF";"18-1452 V/P OLIMEL INFUSIE-EMULSIE N12 ZAK 1L";"99986930";"0006";"000032";"0007";"000010";"9991336";"0307133";"";"000";"00000000";"092";"00000004";"1012";"";"00057800";"0058";"000006";"18-1452";"0002";"000233";"";"";
"0711";"9";0;"";"";"";"90055772";"";"19 0070 Talazoparib 0,10mg";"19 0070 Talazoparib 0,10mg";"19-0070 TALAZOPARIB CAPSULE 0,1MG 30ST BULK";"99986795";"0006";"000300";"0007";"000009";"9991327";"";"0,10MG";"";"";"";"";"1012";"";"";"0058";"";"19-0070";"0002";"000245";"";"";
"0711";"9";0;"";"";"";"90055810";"";"19 0070 Talazoparib 0,25mg";"19 0070 Talazoparib 0,25mg";"19-0070 TALAZOPARIB CAPSULE 0,25MG 30ST BULK";"99986787";"0006";"000300";"0007";"000009";"9991326";"";"0,25MG";"";"";"";"";"1012";"";"";"0058";"";"19-0070";"0002";"000245";"";"";
"0711";"9";0;"";"01-07-2018";"";"90055993";"";"19 0582 NIRAPARIB V/P";"19 0582 NIRAPARIB V/P";"19-0582 NIRAPARIB CAPSULE 100MG V/P";"99986744";"0006";"000300";"0007";"000009";"9991323";"0294503";"100MG";"000";"00000000";"092";"00000004";"1012";"";"";"0058";"000004";"19-0582";"0002";"000245";"";"";
"0711";"9";0;"";"";"";"90067568";"";"19 0571 RM493";"19 0571 RM493";"19-0571 RM-493 INJVLST SC 10MG/ML FL 1ML";"99984237";"0006";"000079";"0007";"000021";"9991112";"";"10MG/ML";"";"";"";"";"1012";"";"";"0058";"";"19-0571";"0002";"000233";"";"";
"0711";"9";1;"";"";"";"90082850";"";"";"";"20-0022 CK-3773274 TABLET 10MG OF PLACEBO 40ST";"99980614";"0006";"000230";"0007";"000009";"9990814";"";"10MG";"";"";"";"";"1012";"";"";"0058";"";"20-0022";"0002";"000245";"";"";
"0711";"9";0;"";"";"";"90083180";"";"20 0940 FUTIBATINIB 4MG";"20 0940 FUTIBATINIB";"20-0940 FUTIBATINIB TABLET 4MG 28 ST";"99980541";"0006";"000230";"0007";"000009";"9990808";"";"4MG";"";"";"";"";"1012";"";"";"0058";"";"20-0940";"0002";"000245";"";"";
