"BSTNUM";"MUTKOD";"VERVALLEN";"BACKUPID";"TSNR";"TSITNR";"THITMK";"THAKD1";"THAKD2";"THAKD3";"THAKD4";"THAKD5";"THAKD6";"THNM15";"THNM50";"THNM4";"THNM25";"NIETVOORSC";"SourceCode"
"0902";"0";0;"";"0017";"000011";"";"";"";"";"";"";"";ATROPINE OOG 1%;Leeftijd jonger dan 2,5 jaar (atropine oog 1%);"";Leeftijd jonger dan 2,5jr;0;
"0902";"0";0;"";"0017";"000012";"";"";"";"";"";"";"";SSRI;Leeftijd jonger dan 18 jaar (SSRI);"";Leeftijd jonger dan 18 jr;0;
"0902";"0";0;"";"0017";"000013";"";"";"";"";"";"";"";PNEUMO 23TYPEN;Leeftijd jonger dan 2 jaar (pneumokokken 23 typen);"";Leeftijd jonger dan 2 jr;0;
"0902";"0";0;"";"0017";"000014";"";"";"";"";"";"";"";GELEKOORTSVACC;Leeftijd jonger dan 6 maanden (gelekoortsvaccin);"";Leeftijd jonger dan 6 mnd;0;
"0902";"0";0;"";"0017";"000015";"";"";"";"";"";"";"";NITROFURANTOINE;Leeftijd jonger dan 1 maand (nitrofurantoine);"";Leeftijd jonger dan 1 mnd;0;
"0902";"0";0;"";"0017";"000016";"";"";"";"";"";"";"";MICONAZOL GEL;Leeftijd jonger dan 2 jaar (miconazol orale gel);"";Leeftijd jonger dan 2 jr;0;
"0902";"0";0;"";"0017";"000018";"";"";"";"";"";"";"";DROTRECOGINE A;Leeftijd jonger dan 18 jaar (drotrecogine alfa);"";Leeftijd jonger dan 18 jr;0;
"0902";"0";0;"";"0017";"000019";"";"";"";"";"";"";"";BENZYLALCOHOL;Leeftijd jonger dan 3 jaar (benzylalcohol);"";Leeftijd jonger dan 3 jr;0;
"0902";"0";0;"";"0017";"000020";"";"";"";"";"";"";"";FENOTH. BENZALC;Leeftijd < 2 en 3 jaar (fenothiaz. en benz. alc.);"";Leeftijd < 2 en 3 jaar;0;
"0902";"0";0;"";"0017";"000021";"";"";"";"";"";"";"";CEFTRIAXON;Leeftijd jonger dan 1 maand (ceftriaxon);"";Leeftijd jonger dan 1 mnd;0;
"0902";"0";0;"";"0017";"000022";"";"";"";"";"";"";"";DEXRAZOXAAN;Leeftijd jonger dan 18 jaar (dexrazoxaan);"";Leeftijd jonger dan 18 jr;0;
"0902";"0";0;"";"0017";"000023";"";"";"";"";"";"";"";PROPYLEENGLYCOL;Leeftijd jonger dan 5 jaar (propyleenglycol);"";Leeftijd jonger dan 5 jr;0;
"0902";"0";0;"";"0017";"000024";"";"";"";"";"";"";"";FLUOXETINE;Leeftijd jonger dan 8 jaar (fluoxetine);"";Leeftijd jonger dan 8 jr;0;
"0902";"0";0;"";"0017";"000025";"";"";"";"";"";"";"";FENOTH.PROP.GL.;Leeftijd < 2 en 5 jaar (fenothiaz. propyleengl.);"";Leeftijd < 2 en 5 jaar;0;
"0902";"0";0;"";"0017";"000026";"";"";"";"";"";"";"";BENZALC.PROP.GL;Leeftijd < 3 en 5 jaar (benz. alc.en propyleengl.);"";Leeftijd < 3 en 5 jaar;0;
"0902";"0";0;"";"0017";"000027";"";"";"";"";"";"";"";METOCLOPRAMIDE;Leeftijd jonger dan 1 jaar (metoclopramide);"";Leeftijd jonger dan 1 jr;0;
"0902";"0";0;"";"0017";"000028";"";"";"";"";"";"";"";BROOMHEXINE;Leeftijd jonger dan 2 jaar (broomhexine);"";Leeftijd jonger dan 2 jr;0;
"0902";"0";0;"";"0017";"000029";"";"";"";"";"";"";"";CODEINE;Leeftijd jonger dan 12 jaar (codeine);"";Leeftijd jonger dan 12;0;
"0902";"0";0;"";"0017";"000030";"";"";"";"";"";"";"";TCA's;Leeftijd jonger dan 18 jaar (TCA's);"";Leeftijd jonger dan 18;0;
"0902";"0";0;"";"0081";"000053";"";"";"";"";"";"";"";SAH;SERVICE APOTHEEK HOEVEN;"";SERVICE APOTHEEK HOEVEN;0;
"0902";"1";1;"";"2005";"000022";"";J;"";"";"";"";"";natrium;natrium;"22";natrium;0;
"0902";"0";0;"";"2005";"000023";"";J;"";"";"";"";"";inname-interval;inname-interval;"23";inname-interval;0;
"0902";"0";0;"";"0006";"000093";"";C;"";"";"";"";"";PASTA ORAAL;PASTA VOOR ORAAL GEBRUIK;"";PASTA VOOR ORAAL GEBRUIK;0;
"0902";"0";0;"";"1011";"000074";"";"";"";"";"";"";"";LENGTE 29 MM;LENGTE 29 MM;"";LENGTE 29 MM;0;
"0902";"1";0;"";"0001";"000356";MD;"";"";"";"";"";"";MILLI-IE;MILLI-INTERNATIONALE EENHEID;MIE;mIE;0;
"0902";"0";0;"";"0079";"000020";"";"";"";"";"";"";"";ROZE;ROZE;"";ROZE;0;
"0902";"0";0;"";"0080";"000030";"";"";"";"";"";"";"";MENTHOL/PEPERM;MENTHOL/PEPERMUNT;"";MENTHOL/PEPERMUNT;0;
"0902";"0";0;"";"0081";"000054";"";"";"";"";"";"";"";AGZ;APOTHEEK GELRE ZIEKENHUIZEN;"";APOTHEEK GELRE ZIEKENHUIS;0;
"0902";"0";0;"";"0122";"000103";"";"";"";"";"";"";"";"103";ERYTROPOETISCHE BLOEDGROEIFACTOREN;"";EPOETINES;0;
"0902";"0";0;"";"1750";"000010";"";J;"";"";"";"";"";Stamnaam;Stamnaam kenmerken;SNK;Stamnaam kenmerken;0;
"0902";"0";0;"";"1750";"000015";"";J;"";"";"";"";"";Generiek naam;Generiek naam kenmerken;GNK;Generiek naam kenmerken;0;
"0902";"0";0;"";"1750";"000020";"";J;"";"";"";"";"";Stmnm Stmtdwg;Stamnaam en stamtoedieningsweg kenmerken;SSK;Stamnm Stamtdw kenmerken;0;
"0902";"0";0;"";"1750";"000030";"";J;"";"";"";"";"";Superproduct;Superproduct kenmerken;SPK;Superproduct kenmerken;0;
"0902";"0";0;"";"1750";"000040";"";J;"";"";"";"";"";Generiekproduct;Generiek product kenmerken;GPK;Generiek productkenmerken;0;
"0902";"0";0;"";"1750";"000045";"";J;"";"";"";"";"";Prescriptieprod;Prescriptie product kenmerken;PRK;Prescriptie productkenmrk;0;
"0902";"0";0;"";"1750";"000050";"";J;"";"";"";"";"";Handelsproduct;Handelsproduct kenmerken;HPK;Handelsproduct kenmerken;0;
"0902";"0";0;"";"1750";"002006";"";J;"";"";"";"";"";MFB Parameter;MFB Parameter;MFBP;MFB Parameter;0;
"0902";"0";0;"";"0120";"000165";MD;"";C;"";"";"";"";MAGNESIUMGL DR;MAGNESIUMGLUCONAAT DRANK;MAGN;MAGNESIUMGLUCONAAT DRANK;0;
"0902";"0";0;"";"0120";"000209";PR;"";C;"";"";"";"";PREDNISOLON;PREDNISOLON;PRED;PREDNISOLON;0;
"0902";"0";0;"";"0120";"000210";"";"";C;"";"";"";"";MAGNESIUM;MAGNESIUM;MAGN;MAGNESIUM;0;
"0902";"0";0;"";"0120";"000211";"";"";C;"";"";"";"";DRANK DB/MR <12;DRANK DB/MR < 12 JAAR;DRAN;DRANK DB/MR < 12 JAAR;0;
"0902";"0";0;"";"0120";"000212";"";"";C;"";"";"";"";KALIUMCITR DR;KALIUMCITRAAT DRANK;KALI;KALIUMCITRAAT DRANK;0;
"0902";"0";0;"";"0120";"000213";"";"";C;"";"";"";"";GRISEOFULVIN DR;GRISEOFULVINE DRANK;GRIS;GRISEOFULVINE DRANK;0;
"0902";"0";0;"";"0120";"000214";"";"";C;"";"";"";"";FENOXYMETHYLPEN;FENOXYMETHYLPENICILLINE;FENO;FENOXYMETHYLPENICILLINE;0;
"0902";"0";0;"";"0007";"000165";"";C;"";"";"";"";"";INTRACEREBRAAL;INTRACEREBRAAL;"";INTRACEREBRAAL;0;
"0902";"0";0;"";"0082";"000103";"";"";"";"";"";"";"";OLEOSUM;OLEOSUM;"";OLEOSUM;0;
"0902";"0";0;"";"0040";"001371";"";"";X;"";F;"";"";"1371";(VERVALT PER 1-12-2023_IS NM) CYP2B6 *1/*5;"";(VERVALT_=NM)CYP2B6*1/*5;0;
"0902";"0";0;"";"0006";"000094";"";C;"";"";"";"";"";TRANSDERM.SPRAY;SPRAY VOOR TRANSDERMAAL GEBRUIK, OPLOSSING;"";TRANSDERMALE SPRAY, OPL.;0;
"0902";"0";0;"";"0120";"000207";"";"2";A;"";"";"";"";IDEBENON;IDEBENON;IDEB;IDEBENON;0;
"0902";"0";0;"";"0120";"000208";"";"3";A;"";"";"";"";LUMACAFT/IVACAF;LUMACAFTOR/IVACAFTOR;LUMA;LUMACAFTOR/IVACAFTOR;0;
"0902";"0";0;"";"0120";"000226";"";"2";A;"";"";"";"";EMTRICIT/TENOF;EMTRICITABINE/TENOFOVIR (DISOPROXIL/ALAFENAMIDE);EMTE;EMTRICITABINE/TENOFOVIR;0;
"0902";"0";0;"";"0081";"000055";"";"";"";"";"";"";"";ISALA KLINIEKEN;ZIEKENHUISAPOTHEEK ISALA KLINIEKEN;"";ZIEKENHUISAPOTHEEK ISALA;0;
"0902";"0";0;"";"0040";"001372";"";"";X;"";F;"";"";"1372";(VERVALT PER 1-12-2023_IS NM) CYP2B6 *5/*5;"";(VERVALT_=NM)CYP2B6*5/*5;0;
"0902";"0";0;"";"0040";"001373";"";"";X;"";F;"";"";"1373";(VERVALT PER 1-12-2023_IS IM) CYP2B6 *5/*6OF*5/*18;"";(VERVALT_=IM)CYP2B6*5/*6O;0;
"0902";"0";0;"";"1011";"000075";"";"";"";"";"";"";"";LENGTE 33MM;LENGTE 33MM;"";LENGTE 33MM;0;
"0902";"0";0;"";"1011";"000076";"";"";"";"";"";"";"";LENGTE 30,5MM;LENGTE 30,5MM;"";LENGTE 30,5MM;0;
"0902";"0";0;"";"1750";"000000";"";J;"";"";"";"";"";Niet ingevuld;Niet ingevuld;NIET;Niet ingevuld;0;
"0902";"0";0;"";"0010";"000023";"";"";"";"";"";"";"";LORAZEPAM-DRANK;LORAZEPAM-DRANK;"";LORAZEPAM-DRANK;0;
"0902";"0";0;"";"0007";"000166";"";C;"";"";"";"";"";INTRAPERICA;INTRAPERICARDIAAL;"";PERICARDIAAL;0;
"0902";"0";0;"";"0008";"000725";"";"";"";"";"";"";"";ML/CM2;MILLILITER / VIERKANTE CENTIMETER;MLC2;ml/cm2;0;
"0902";"0";0;"";"0010";"000024";"";"";"";"";"";"";"";NATRIUMCITR-DRA;NATRIUMCITRAAT-DRANK;"";NATRIUMCITRAAT-DRANK;0;
"0902";"0";0;"";"0010";"000026";"";"";"";"";"";"";"";KALIUMCITR-DRNK;KALIUMCITRAAT-DRANK;"";KALIUMCITRAAT-DRANK;0;
"0902";"0";0;"";"1011";"000083";"";"";"";"";"";"";"";T-SAFE CU 36MM;T-SAFE CU 36MM;"";T-SAFE CU 36MM;0;
"0902";"0";0;"";"1011";"000084";"";"";"";"";"";"";"";T-PROTECT 36MM;T-PROTECT TCU 36MM;"";T-PROTECT TCU 36MM;0;
"0902";"0";0;"";"1011";"000085";"";"";"";"";"";"";"";MI-DIU T 36MM;MI-DIU T 36MM;"";MI-DIU T 36MM;0;
"0902";"0";0;"";"2050";"000001";"";A;M;"";"";"";"";"1";Bewust hoge dosering;"";Bewust hoge dosering;0;
"0902";"0";0;"";"2050";"000002";"";A;M;"";"";"";"";"2";Bewust lage dosering;"";Bewust lage dosering;0;
"0902";"0";0;"";"2050";"000003";"";A;M;"";"";"";"";"3";Bewust afwijkende toedieningsweg;"";Bewust afwijkende toed.wg;0;
"0902";"0";0;"";"2050";"000004";"";A;M;"";"";"";"";"4";Medische noodzaak;"";Medische noodzaak;0;
"0902";"0";0;"";"2050";"000005";"";A;M;"";"";"";"";"5";Profylaxe;"";Profylaxe;0;
"0902";"0";0;"";"2050";"000006";"";B;L;"";"";"";"";"6";Wijziging in GDS per direct;"";Wijz. in GDS per direct;0;
"0902";"0";0;"";"2050";"000007";"";B;L;"";"";"";"";"7";Wijziging in GDS per rolwissel;"";Wijz in GDS per rolwissel;0;
"0902";"0";0;"";"2051";"000001";"";S;"";"";"";"";"";"1";Spoed;"";Spoed;0;
"0902";"0";0;"";"2051";"000002";"";-;"";"";"";"";"";"2";Niet in GDS;"";Niet in GDS;0;
"0902";"0";0;"";"2051";"000003";"";-;"";"";"";"";"";"3";Bezorgen;"";Bezorgen;0;
"0902";"1";1;"";"2051";"000004";"";-;"";"";"";"";"";"4";Afleveren op methadonpost;"";Afleveren op methadonpost;0;
"0902";"0";0;"";"2052";"000001";"";"";"";"";"";"";"";"1";Aantal bewust gewijzigd;"";Aantal bewust gewijzigd;0;
"0902";"0";0;"";"2052";"000002";"";"";"";"";"";"";"";"2";Recall;"";Recall;0;
"0902";"0";0;"";"2052";"000003";"";"";"";"";"";"";"";"3";Retour;"";Retour;0;
"0902";"0";0;"";"2053";"000001";"";"";"";"";"";"";"";"1";Geneesmiddel niet verstrekt;"";Middel niet verstrekt;0;
"0902";"0";0;"";"2053";"000002";"";"";"";"";"";"";"";"2";Niet leverbaar;"";Niet leverbaar;0;
"0902";"0";0;"";"2053";"000003";"";"";"";"";"";"";"";"3";Medicatieafspraak gewijzigd: substantie;"";MA gewijzigd: substantie;0;
"0902";"0";0;"";"2053";"000004";"";"";"";"";"";"";"";"4";Medicatieafspraak gewijzigd: dosering;"";MA gewijzigd: dosering;0;
"0902";"0";0;"";"2053";"000005";"";"";"";"";"";"";"";"5";Medicatieafspraak gewijzigd: farm.vorm;"";MA gewijzigd: farm.vorm;0;
"0902";"0";0;"";"2053";"000006";"";"";"";"";"";"";"";"6";Medicatieafspraak gewijzigd: verwisseling persoon;"";MA gewijz.: ander persoon;0;
"0902";"0";0;"";"2053";"000007";"";"";"";"";"";"";"";"7";Machtiging aangevraagd;"";Machtiging aangevraagd;0;
"0902";"0";0;"";"2053";"000008";"";"";"";"";"";"";"";"8";Machtiging afgewezen;"";Machtiging afgewezen;0;
"0902";"0";0;"";"2053";"000009";"";"";"";"";"";"";"";"9";Machtiging in gebruik nemen;"";Machtiging in gebr. nemen;0;
"0902";"0";0;"";"2053";"000010";"";"";"";"";"";"";"";"10";Gebruiksinstructie gegeven;"";Gebruiksinstr. gegeven;0;
"0902";"0";0;"";"2053";"000011";"";"";"";"";"";"";"";"11";Controle inhalatietechniek;"";Controle inhal.techniek;0;
"0902";"0";0;"";"2053";"000012";"";"";"";"";"";"";"";"12";Meter periodieke controle;"";Meter periodieke controle;0;
"0902";"0";0;"";"0120";"000215";"";"";C;"";"";"";"";OOGDRUPP DB/MR;OOGDRUPPELS DB/MR;OOGD;OOGDRUPPELS DB/MR;0;
"0902";"0";0;"";"2005";"000024";"";J;"";"";"";"";"";QT;QT;"24";QT;0;
"0902";"0";0;"";"2053";"000013";"";"";"";"";"";"";"";"13";Pen controle/omruil;"";Pen controle/omruil;0;
"0902";"0";0;"";"2053";"000014";"";"";"";"";"";"";"";"14";Bijwerking besproken;"";Bijwerking besproken;0;
"0902";"0";0;"";"2053";"000015";"";"";"";"";"";"";"";"15";Afhandeling bijwerking niet-Lareb;"";Afhand. bijw. niet-Lareb;0;
"0902";"0";0;"";"2053";"000016";"";"";"";"";"";"";"";"16";Melding Lareb;"";Melding Lareb;0;
"0902";"0";0;"";"2053";"000017";"";"";"";"";"";"";"";"17";Medicatiebewaking OTC;"";Medicatiebewaking OTC;0;
"0902";"0";0;"";"0006";"000095";"";C;"";"";S;"";"";INF DISPERSIE;DISPERSIE VOOR INFUSIE;"";DISPERSIE VOOR INFUSIE;0;
"0902";"0";0;"";"0008";"000726";"";"";"";"";"";"";"";CELLEN/ST;CELLEN / STUK;CEST;cellen/st;0;
"0902";"0";0;"";"0004";"000102";"";"";"";"";"";"";"";TUBE IN DOOS;TUBE IN DOOS;"";TUBE IN DOOS;0;
"0902";"0";0;"";"0022";"000022";TS;"";"";"";"";"";"";TD-SPRAY;TRANSDERMAAL-SPRAY;TDSP;TRANSDERMAAL-SPRAY;0;
"0902";"0";0;"";"0120";"000217";"";"";C;"";"";"";"";FOLIUMZ DR;FOLIUMZUUR DRANK;FOLI;FOLIUMZUUR DRANK;0;
"0902";"0";0;"";"0120";"000218";"";"";C;"";"";"";"";AMISULPRIDE;AMISULPRIDE;AMIS;AMISULPRIDE;0;
"0902";"0";0;"";"0120";"000219";"";"";C;"";"";"";"";DANTROLEEN SUSP;DANTROLEEN SUSPENSIE;DANT;DANTROLEEN SUSPENSIE;0;
"0902";"0";0;"";"0120";"000220";"";"";C;"";"";"";"";OXYBUTYNINE HCL;OXYBUTYNINE HCL;OXYB;OXYBUTYNINE HCL;0;
"0902";"0";0;"";"0120";"000221";"";"2";A;"";"";"";"";ERTUGLIFLOZINE;ERTUGLIFLOZINE;ERTU;ERTUGLIFLOZINE;0;
"0902";"1";0;"";"0001";"000357";NG;"";"";"";"";"";"";NANOGRAM;NANOGRAM;NANO;ng;0;
"0902";"0";0;"";"0002";"000357";NG;G;"";"";"";"";"";NANOGRAM;NANOGRAM;NANO;ng;0;
"0902";"0";0;"";"0007";"000167";"";"";"";"";"";"";"";INTRATYMPANAAL;INTRATYMPANAAL;"";INTRATYMPANAAL;0;
"0902";"0";0;"";"0120";"000222";"";"";C;"";"";"";"";TEKORT;TEKORT;TEKO;TEKORT;0;
"0902";"0";0;"";"0120";"000224";"";"";C;"";"";"";"";TABL DB/MR < 12;TABLET DB/MR KIND < 12 JAAR;TABL;TABLET DB/MR KIND < 12 JR;0;
"0902";"0";0;"";"0120";"000225";"";"";C;"";"";"";"";INSULIN NEUSSPR;INSULINE NEUSSPRAY;INSU;INSULINE NEUSSPRAY;0;
"0902";"0";0;"";"0120";"000227";"";"2";A;"";"";"";"";FINGOLIMOD;FINGOLIMOD;FING;FINGOLIMOD;0;
"0902";"0";0;"";"0081";"000056";"";"";"";"";"";"";"";NSZ;NIJ SMELLINGHE ZIEKENHUIS;"";NSZ;0;
"0902";"1";1;"";"0120";"000216";"";"1";A;"";"";"";"";ROFLUMILAST;ROFLUMILAST;ROFL;ROFLUMILAST;0;
"0902";"0";0;"";"1011";"000077";"";"";"";"";"";"";"";LENGTE 29,5MM;LENGTE 29,5MM;"";LENGTE 29,5MM;0;
"0902";"0";0;"";"1011";"000078";"";"";"";"";"";"";"";LENGTE 35,5MM;LENGTE 35,5MM;"";LENGTE 35,5MM;0;
"0902";"0";0;"";"0081";"000058";"";"";"";"";"";"";"";MAASSTAD ZKH;MAASSTAD ZIEKENHUIS;"";MAASSTAD ZIEKENHUIS;0;
"0902";"0";0;"";"1011";"000079";"";"";"";"";"";"";"";MI-DIU 35MM;MI-DIU LOAD 35MM;"";MI-DIU LOAD 35MM;0;
"0902";"0";0;"";"1011";"000080";"";"";"";"";"";"";"";MULTISAFE 35MM;MULTISAFE-CU 35MM;"";MULTISAFE-CU 35MM;0;
"0902";"0";0;"";"1011";"000082";"";"";"";"";"";"";"";START;START;"";START;0;
"0902";"0";0;"";"0006";"000096";"";C;"";"";S;"";"";OOGDR, EMUL;OOGDRUPPELS, EMULSIE;"";OOGDRUPPELS, EMULSIE;0;
"0902";"0";1;"";"0040";"001375";"";"";X;"";P;"";"";"1375";NIERTRANSPLANTATIE;"";NIERTRANSPLANTATIE;0;
"0902";"0";1;"";"0040";"001376";"";"";X;"";P;"";"";"1376";LEVERTRANSPLANTATIE;"";LEVERTRANSPLANTATIE;0;
"0902";"0";1;"";"0040";"001377";"";"";X;"";P;"";"";"1377";HARTTRANSPLANTATIE;"";HARTTRANSPLANTATIE;0;
"0902";"0";1;"";"0040";"001378";"";"";X;"";P;"";"";"1378";LONGTRANSPLANTATIE;"";LONGTRANSPLANTATIE;0;
"0902";"0";1;"";"0040";"001379";"";"";X;"";I;"";"";"1379";MITOCHONDRIELE ZIEKTEN;"";MITOCHONDRIELE ZIEKTEN;0;
"0902";"0";1;"";"0040";"001380";"";"";X;"";I;"";"";"1380";MASTOCYTOSE/MESTCELACTIVATIESYNDROOM;"";MASTOCYTOSE;0;
"0902";"0";0;"";"0077";"000075";"";"";"";"";"";"";"";CYCLOPS;CYCLOPS;"";CYCLOPS;0;
"0902";"0";0;"";"1011";"000086";"";"";"";"";"";"";"";DIAMETER 15MM;DIAMETER 15MM;"";DIAMETER 15MM;0;
"0902";"9";0;"";"0007";CS0000;"";"";"";"";"";"";"";SPINAAL;SPINAAL;SPIN;SPINAAL;0;
"0902";"9";0;"";"0007";CS0001;"";"";"";"";"";"";"";BULAI;BULAIR;BULA;BULAIR;0;
"0902";"9";0;"";"0007";CS0002;"";"";"";"";"";"";"";CAUDAAL;CAUDAAL;CAUD;CAUDAAL;0;
"0902";"9";0;"";"0007";CS0003;"";"";"";"";"";"";"";PLEXUS;PLEXUS;PLEX;PLEXUS;0;
"0902";"9";0;"";"1420";"999999";"";"";"";"";"";"";"";Conversie;Conversie obv oude TDW;Conv;Conversie;0;
"0902";"1";0;"";"0001";"000000";"";"";"";"";"";"";"";NIET VAN TOEPAS;NIET VAN TOEPASSING;NVT;n.v.t.;0;
"0902";"1";0;"";"0001";"000201";AB;"";"";"";"";"";"";ANTITOXINE B.W.;ANTITOXINE BINDINGS WAARDE;ABW;ABW;0;
"0902";"1";0;"";"0001";"000202";AE;"";"";"";"";"";"";ANTITOXISCHE EH;ANTITOXISCHE EENHEID;AE;AE;0;
"0902";"1";0;"";"0001";"000203";BQ;"";"";"";"";"";"";BECQUEREL;BECQUEREL;BECQ;Bq;0;
"0902";"1";0;"";"0001";"000205";CM;"";"";"";"";"";"";CENTIMETER;CENTIMETER;CM;cm;0;
"0902";"1";0;"";"0001";"000206";C2;"";"";"";"";"";"";VIERKANTE CM;VIERKANTE CENTIMETER;CM-2;cm2;0;
"0902";"1";0;"";"0001";"000207";D;"";"";"";"";"";"";DECIM.POTENTIE;DECIMALE POTENTIE;D;D;0;
"0902";"1";0;"";"0001";"000208";DO;"";"";"";"";"";"";DOSIS;DOSIS;DO;dosis;0;
"0902";"1";0;"";"0001";"000211";E;"";"";"";"";"";"";EENHEID;EENHEID;E;E;0;
"0902";"1";0;"";"0001";"000213";FE;"";"";"";"";"";"";FIP EENHEID;FIP EENHEID;FIPE;FIP-E;0;
"0902";"1";0;"";"0001";"000215";G;"";"";"";"";"";"";GRAM;GRAM;GRAM;g;0;
"0902";"1";0;"";"0001";"000217";IE;"";"";"";"";"";"";INTERNAT.EENH.;INTERNATIONALE EENHEID;IE;IE;0;
"0902";"1";0;"";"0001";"000218";J;"";"";"";"";"";"";JOULE;JOULE;JOUL;J;0;
"0902";"1";0;"";"0001";"000219";KG;"";"";"";"";"";"";KILOGRAM;KILOGRAM;KG;kg;0;
"0902";"1";0;"";"0001";"000221";KM;"";"";"";"";"";"";KIEMEN;KIEMEN;KIEM;kiemen;0;
"0902";"1";0;"";"0001";"000222";L;"";"";"";"";"";"";LITER;LITER;L;l;0;
"0902";"1";0;"";"0001";"000225";M;"";"";"";"";"";"";METER;METER;M;m;0;
"0902";"1";0;"";"0001";"000229";MG;"";"";"";"";"";"";MILLIGRAM;MILLIGRAM;MG;mg;0;
"0902";"1";0;"";"0001";"000231";MI;"";"";"";"";"";"";MILLIMOL;MILLIMOL;MMOL;mmol;0;
"0902";"1";0;"";"0001";"000233";ML;"";"";"";"";"";"";MILLILITER;MILLILITER;ML;ml;0;
"0902";"1";0;"";"0001";"000234";MM;"";"";"";"";"";"";MILLIMETER;MILLIMETER;MM;mm;0;
"0902";"1";0;"";"0001";"000235";MO;"";"";"";"";"";"";MOL;MOL;MOL;mol;0;
