Backup ID,Bestandnummer,Bruto formule,CAS-nummer,Code opiumwet,Code rijvaardigheid,Code stamnaam toegestaan,Code vergift,Code werkzaam bestanddeel/hulp,Databroncode,Generieke naam,Generiekenaamcode,Informatorium stof code,IsStamnaam,Molecuulgewicht,Molecuulgewicht indicator,Molecuulgewicht samenstelling,Mutatiecode,Soortelijk gewicht,Stamnaamcode,Volledige generieke naam code,Voorkeurseenheid memocode
,0750,C23H34O5,023930372,,,,,W,,ALFADOLON ACETAAT,000183,000000,FALSE,390.52,,390.52,0,0.00,036358,000183,MG
,0750,C21H32O3,023930190,,,S,,W,,ALFAXALON,000191,000000,TRUE,332.50,,332.50,0,0.00,000191,000191,MG
,0750,C4H7NaO3,000502852,,,,,W,,HYDROXYBUTYRAAT NATRIUM,000205,000022,FALSE,126.09,,126.09,0,0.00,041831,000205,MG
,0750,C13H16ClNO.HCl,001867669,,1,,,W,,KETAMINE HYDROCHLORIDE,000221,000000,FALSE,274.20,,274.20,0,0.00,042617,000221,MG
,0750,C18H27NO5,001421143,,,S,,W,,PROPANIDIDE,000248,000000,TRUE,337.40,,337.40,0,0.00,000248,000248,MG
,0750,C9H11NO2,000094097,,,S,,W,,BENZOCAINE,000264,000027,TRUE,165.20,,165.20,0,0.00,000264,000264,MG
,0750,C6H5.CH2OH,000100516,,,S,,B,,BENZYLALCOHOL,000272,000028,TRUE,108.10,,108.10,0,1.04,000272,000272,MG
,0750,C17H21NO4.HCl,000053214,,,,,W,,COCAINE HYDROCHLORIDE,000302,000033,FALSE,339.80,,339.80,0,0.00,024740,000302,MG
,0750,C2Cl2F4,000076142,,,S,,B,,CRYOFLUORAAN,000310,000034,TRUE,170.92,,170.92,0,0.00,000310,000310,ML
,0750,C2H5Cl,000075003,,,S,,W,,ETHYLCHLORIDE,000329,000036,TRUE,64.51,,64.51,0,0.00,000329,000329,ML
,0750,C6H5.OH,000108952,,,S,,B,,FENOL,000337,000037,TRUE,94.11,,94.11,0,0.00,000337,000337,MG
,0750,FeNH4(SO4).12H2O,000000000,,,S,,W,,FERRIAMMONIUMSULFAAT,000353,000000,TRUE,482.00,,482.00,0,0.00,000353,000353,MG
,0750,C15H22N2O.HCl,001722629,,,,,W,,MEPIVACAINE HYDROCHLORIDE,000361,000042,FALSE,282.80,,282.80,0,0.00,044091,000361,MG
,0750,C17H28N2O3.HCl,005987826,,,,,W,,OXYBUPROCAINE HYDROCHLORIDE,000388,001370,FALSE,344.90,,344.90,0,0.00,045608,000388,MG
,0750,C3H7NO2S,000052904,,,S,,B,,CYSTEINE,000396,002593,TRUE,121.16,,121.16,0,0.00,000396,000396,MG
,0750,C13H20N2O.HCl,001786818,,,,,W,,PRILOCAINE HYDROCHLORIDE,000418,000046,FALSE,256.80,,256.80,0,0.00,047112,000418,MG
,0750,C13H20N2O2,000059461,,,S,,W,,PROCAINE,000426,000047,TRUE,236.30,,236.30,0,0.00,000426,000426,MG
,0750,C13H20N2O2.HCl,000051058,,,,,W,,PROCAINE HYDROCHLORIDE,000434,000047,FALSE,272.80,,272.80,0,0.00,000426,000434,MG
,0750,C15H24N2O2.HCl,000136470,,,,,W,,TETRACAINE HYDROCHLORIDE,000450,000051,FALSE,300.80,,300.80,0,0.00,048593,000450,MG
,0750,C14H14O3,022204531,,,S,,W,,NAPROXEN,000477,001630,TRUE,230.30,,230.30,0,0.00,000477,000477,MG
,0750,C13H10O3,000118558,,,S,,W,,FENYLSALICYLAAT,000531,000000,TRUE,214.20,,214.20,0,0.00,000531,000531,MG
,0750,C10H14N2O,000059267,,,S,,W,,NICETHAMIDE,000558,000000,TRUE,178.20,,178.20,0,0.00,000558,000558,MG
,0750,C6H10N4,000054955,,,S,,W,,PENTETRAZOL,000566,000000,TRUE,138.20,,138.20,0,0.00,000566,000566,MG
,0750,,008015518,,,S,,W,,PRETHCAMIDE,000582,000000,TRUE,0.00,,0.00,0,0.00,000582,000582,MG
,0750,C21H22N2O2.HNO3,000066320,,,,,W,,STRYCHNINE NITRAAT,000590,000000,FALSE,397.40,,397.40,0,0.00,048631,000590,MG
,0750,C19H23NO3.HCl.2H2O,000125304,,,,,W,,ETHYLMORFINE HYDROCHLORIDE-2-WATER,000604,000000,FALSE,385.90,,385.90,0,0.00,040584,000604,MG
,0750,C17H19NO3.HCl,000071681,,1,,,W,,HYDROMORFON HYDROCHLORIDE,000612,000066,FALSE,321.80,,321.80,0,0.00,041793,000612,MG
,0750,C17H19NO3.HCl.3H2O,006055067,,1,,,W,,MORFINE HYDROCHLORIDE-3-WATER,000620,000068,FALSE,375.80,,375.80,0,0.00,044598,000620,MG
,0750,,000000000,,1,,,W,,NICOMORFINE (ALS HYDROCHLORIDE),000639,001895,FALSE,495.51,,495.51,0,0.00,045047,045055,MG
,0750,,000000000,,1,S,,W,,OPIUM,000655,000745,TRUE,0.00,,0.00,0,0.00,000655,000655,XX
,0750,C18H21NO4.HCl.3H2O,000000000,,1,,,W,,OXYCODON HYDROCHLORIDE-3-WATER,000663,000071,FALSE,405.90,,405.90,0,0.00,045624,000663,MG
,0750,C19H27NO,000359831,,1,S,,W,,PENTAZOCINE,000698,000074,TRUE,285.40,,285.40,0,0.00,000698,000698,MG
,0750,C19H27NO.HCl,064024153,,1,,,W,,PENTAZOCINE HYDROCHLORIDE,000701,000074,FALSE,321.90,,321.90,0,0.00,000698,000701,MG
,0750,C19H27NO.C3H6O3,017146951,,1,,,W,,PENTAZOCINE LACTAAT,000728,000074,FALSE,375.50,,375.50,0,0.00,000698,000728,MG
,0750,C25H32N2O2.C4H6O6,002922443,,1,,,W,,DEXTROMORAMIDE WATERSTOFTARTRAAT,000736,001373,FALSE,542.60,,542.60,0,0.00,039470,000736,MG
,0750,C21H27NO.HCl,001095905,,1,,,W,,METHADON HYDROCHLORIDE,000744,000075,FALSE,345.90,,345.90,0,0.00,044180,000744,MG
,0750,C15H21NO2.HCl,000050135,,1,,,W,,PETHIDINE HYDROCHLORIDE,000752,000079,FALSE,283.80,,283.80,0,0.00,046582,000752,MG
,0750,C31H32N4O2,015301481,,1,S,,W,,BEZITRAMIDE,000760,000000,TRUE,492.60,,492.60,0,0.00,000760,000760,MG
,0750,C22H28N2O.C6H8O7,000990738,,1,,,W,,FENTANYL DIWATERSTOFCITRAAT,000779,001374,FALSE,528.60,,528.60,0,0.00,040827,000779,MG
,0750,C27H34N4O,000302410,,1,S,,W,,PIRITRAMIDE,000787,001503,TRUE,430.60,,430.60,0,0.00,000787,000787,MG
,0750,C9H8O4,000050782,,,S,,W,,ACETYLSALICYLZUUR,000795,001375,TRUE,180.15,,180.15,0,0.00,000795,000795,MG
,0750,,000493538,,,,,W,,ACETYLSALICYLAAT NATRIUM,000817,001375,FALSE,202.15,1,202.15,0,0.00,000795,000817,MG
,0750,C9H8O4.C6H14N2O2,062952061,,,,,W,,ACETYLSALICYLAAT LYSINE,000825,001375,FALSE,326.34,,326.34,0,0.00,000795,000825,MG
,0750,C17H15NO5,005003485,,,S,,W,,BENORILAAT,000833,000000,TRUE,313.30,,313.30,0,0.00,000833,000833,MG
,0750,C11H17NO3,004419925,,,,,W,,SALICYLAAT DIETHYLAMINE,000841,000354,FALSE,211.30,,211.30,0,0.00,005983,000841,MG
,0750,C8H8O3,000119368,,,S,,B,,METHYLSALICYLAAT,000868,000086,TRUE,152.14,,152.14,0,0.00,000868,000868,MG
,0750,,000000000,,,,,W,,SALICYLZUUR (ALS NA-ZOUT),000876,000354,FALSE,138.10,,138.10,0,0.00,005983,044989,MG
,0750,C7H7NO2,000065452,,,S,,W,,SALICYLAMIDE,000884,000000,TRUE,137.10,,137.10,0,0.00,000884,000884,MG
,0750,C10H13NO2,000062442,,,S,,B,,FENACETINE,000892,000089,TRUE,179.20,,179.20,0,0.00,000892,000892,MG
,0750,C8H9NO2,000103902,,,S,,W,,PARACETAMOL,000906,000090,TRUE,151.20,,151.20,0,0.00,000906,000906,MG
,0750,C13H17N3O,000058151,,,S,,W,,AMINOFENAZON,000914,000000,TRUE,231.29,,231.29,0,0.00,000914,000914,MG
,0750,C11H12N2O.C7H6O3,000520070,,,,,W,,FENAZON SALICYLAAT,000922,000092,FALSE,326.40,,326.40,0,0.00,020079,000922,MG
,0750,C5H11NO2S,000052675,,,S,,W,,PENICILLAMINE,000930,000142,TRUE,149.20,,149.20,0,0.00,000930,000930,MG
,0750,,000000000,,,,,W,,FENAZON COFFEINECITROENZUUR,000949,000092,FALSE,209.10,1,209.10,0,0.00,020079,000949,MG
,0750,C13H16N3NaO4S.H2O,005907380,,,,,W,,METAMIZOL NATRIUM-1-WATER,000957,000095,FALSE,351.40,,351.40,0,0.00,045284,000957,MG
,0750,,000000000,,,S,,W,,ACONITUM PREPARAAT,000965,000000,TRUE,0.00,,0.00,0,0.00,000965,000965,XX
,0750,(C20H24N2O2)2.H2SO4.2H2O,006119706,,,,,W,,KININE SULFAAT-2-WATER,000973,000100,FALSE,782.90,,391.50,0,0.00,024716,000973,MG
,0750,C20H24N2O2.HCl.2H2O,006119477,,,,,W,,KININE HYDROCHLORIDE-2-WATER,000981,000100,FALSE,396.90,,396.90,0,0.00,024716,000981,MG
,0750,C18H21NO3.H3PO4,000052288,,1,,,W,,CODEINE DIWATERSTOFFOSFAAT-0-WATER,001007,000743,FALSE,397.37,,397.37,0,0.00,038938,001007,MG
,0750,C18H21NO3.H2O,006059478,,1,,,W,,CODEINE 1-WATER,001015,000743,FALSE,317.40,,317.40,0,0.00,038938,001015,MG
,0750,C18H21NO3.HCl.2H2O,070420712,,1,,,W,,CODEINE HYDROCHLORIDE-2-WATER,001023,000743,FALSE,371.90,,371.90,0,0.00,038938,001023,MG
,0750,C22H29NO2.HCl,001639607,,1,,,W,,DEXTROPROPOXYFEEN HYDROCHLORIDE,001058,000081,FALSE,375.90,,375.90,0,0.00,039489,001058,MG
,0750,C19H17ClN2O4,003820675,,1,S,,W,,GLAFENINE,001066,000000,TRUE,372.80,,372.80,0,0.00,001066,001066,MG
,0750,C19H20N2O2,000050339,,,S,,W,,FENYLBUTAZON,001074,000093,TRUE,308.40,,308.40,0,0.00,001074,001074,MG
,0750,C19H19N2NaO2,000129180,,,,,W,,FENYLBUTAZON NATRIUM,001082,000093,FALSE,330.40,,330.40,0,0.00,001074,001082,MG
,0750,C13H16N2O2,002210631,,,S,,W,,MOFEBUTAZON,001090,000000,TRUE,232.30,,232.30,0,0.00,001090,001090,MG
,0750,C19H20N2O3.H2O,007081381,,,,,W,,OXYFENBUTAZON 1-WATER,001104,000000,FALSE,342.40,,342.40,0,0.00,045659,001104,MG
,0750,C13H9F3N2O2,004394007,,,S,,W,,NIFLUMINEZUUR,001112,000000,TRUE,282.20,,282.20,0,0.00,001112,001112,MG
,0750,C11H11ClO3,022131799,,,S,,W,,ALCLOFENAC,001120,000000,TRUE,226.66,,226.66,0,0.00,001120,001120,MG
,0750,C8H7ClN2O2S,000364987,,,S,,W,,DIAZOXIDE,001139,001568,TRUE,230.70,,230.70,0,0.00,001139,001139,MG
,0750,C14H10Cl2NNaO2,015307796,,,,,W,,DICLOFENAC NATRIUM,001147,001701,FALSE,318.10,,318.10,0,0.00,039640,001147,MG
,0750,C13H18O2,015687271,,,S,,W,,IBUPROFEN,001155,001281,TRUE,206.30,,206.30,0,0.00,001155,001155,MG
,0750,C18H26ClN3.2H3PO4,000050635,,,,,W,,CHLOROQUINE DIFOSFAAT,001163,001277,FALSE,515.90,,515.90,0,0.00,038539,001163,MG
,0750,C18H26ClN3.H2SO4.H2O,006823832,,,,,W,,CHLOROQUINE SULFAAT-1-WATER,001171,001277,FALSE,436.00,,436.00,0,0.00,038539,001171,MG
,0750,C18H26ClN3O.H2SO4,000747364,,,,,W,,HYDROXYCHLOROQUINE SULFAAT,001198,001278,FALSE,433.90,,433.90,0,0.00,041858,001198,MG
,0750,C6H11AuO5S,012192573,,,S,,W,,AUROTHIOGLUCOSE,001201,000000,TRUE,392.20,,392.20,0,0.00,001201,001201,MG
,0750,C4H3AuNa2O4S,012244574,,,,,W,,AUROTHIOMALAAT DINATRIUM,001228,001280,FALSE,390.12,,390.12,0,0.00,056863,001228,MG
,0750,C16H20N4O2.2H2O,022304309,,,,,W,,AZAPROPAZON 2-WATER,001236,000000,FALSE,336.40,,336.40,0,0.00,050652,001236,MG
,0750,C2H6OS,000067685,,,S,,B,,DIMETHYLSULFOXIDE,001244,000110,TRUE,78.13,,78.13,0,1.10,001244,001244,MG
,0750,C19H16ClNO4,000053861,,1,S,,W,,INDOMETACINE,001252,001282,TRUE,357.80,,357.80,0,0.00,001252,001252,MG
,0750,C20H17FO3S,038194502,,,S,,W,,SULINDAC,001279,001672,TRUE,356.42,,356.42,0,0.00,001279,001279,MG
,0750,C22H25NO6,000064868,,,S,,W,,COLCHICINE,001287,000101,TRUE,399.40,,399.40,0,0.00,001287,001287,MG
,0750,C5H4N4O,000315300,,,S,,W,,ALLOPURINOL,001295,000102,TRUE,136.11,,136.11,0,0.00,001295,001295,MG
,0750,C17H12Br2O3,003562843,,,S,,W,,BENZBROMARON,001309,001521,TRUE,424.10,,424.10,0,0.00,001309,001309,MG
,0750,C17H12I2O3,000068906,,,S,,W,,BENZIODARON,001317,000000,TRUE,518.10,,518.10,0,0.00,001317,001317,MG
,0750,C16H11NO2,000132605,,,S,,W,,CINCHOFEEN,001325,000000,TRUE,249.26,,249.26,0,0.00,001325,001325,MG
,0750,C13H19NO4S,000057669,,,S,,W,,PROBENECIDE,001341,000106,TRUE,285.40,,285.40,0,0.00,001341,001341,MG
,0750,C23H20N2O3S,000057965,,,S,,W,,SULFINPYRAZON,001368,000000,TRUE,404.50,,404.50,0,0.00,001368,001368,MG
,0750,C2H6O,000064175,,1,S,,B,,ETHANOL,001376,000111,TRUE,46.07,,46.07,0,0.79,001376,001376,ML
,0750,C19H23N3O.HCL,000132694,,,,,W,,BENZYDAMINE HYDROCHLORIDE,001384,000108,FALSE,345.90,,345.90,0,0.00,037265,001384,MG
,0750,,009041081,,,,,B,,HEPARINE NATRIUM,001392,000112,FALSE,0.00,,1.00,0,0.00,018295,001392,IE
,0750,,037270896,,,,,W,,HEPARINE CALCIUM,001406,000112,FALSE,0.00,,1.00,0,0.00,018295,001406,IE
,0750,,000000000,,,,,W,,"HEPARINOIDEN ""BAYER""",001414,000113,FALSE,0.00,,0.00,0,0.00,058068,001414,E
,0750,C19H15NO6,000152727,,,S,,W,,ACENOCOUMAROL,001422,000115,TRUE,353.30,,353.30,0,0.00,001422,001422,MG
,0750,C19H12O6,000066762,,,S,,W,,DICOUMAROL,001449,000000,TRUE,336.30,,336.30,0,0.00,001449,001449,MG
,0750,C22H16O8,000548005,,,S,,W,,ETHYLBISCOUMACETAAT,001457,000000,TRUE,408.40,,408.40,0,0.00,001457,001457,MG
,0750,C18H16O3,000435972,,,S,,W,,FENPROCOUMON,001465,000119,TRUE,280.30,,280.30,0,0.00,001465,001465,MG
,0750,C19H15NaO4,000129066,,,,,W,,WARFARINE NATRIUM,001473,000120,FALSE,330.30,,330.30,0,0.00,049727,001473,MG
,0750,,009009658,,,,,B,,PROTAMINE SULFAAT,001481,000125,FALSE,0.00,,0.00,0,0.00,047376,001481,IE
,0750,,000000000,,,,,B,,PROTAMINE HYDROCHLORIDE,001503,000125,FALSE,0.00,,0.00,0,0.00,047376,001503,IE
,0750,C31H46O2,000084800,,,S,,W,,FYTOMENADION,001511,000126,TRUE,450.70,,450.70,0,0.00,001511,001511,MG
,0750,(C17H23NO3)2.H2SO4.H2O,005908996,,1,,,W,,ATROPINE SULFAAT-1-WATER,001538,000127,FALSE,694.80,,347.40,0,0.00,036935,001538,MG
,0750,C14H16Cl2N4O3,000114909,,,,,W,,OBIDOXIM DICHLORIDE,001546,000128,FALSE,359.20,,359.20,0,0.00,045292,001546,MG
,0750,C12H19BrN2O2,000114807,,,,,W,,NEOSTIGMINE BROMIDE,001554,000130,FALSE,303.20,,303.20,0,0.00,045020,001554,MG
,0750,C13H22N2O6S,000051605,,,,,W,,NEOSTIGMINE METILSULFAAT,001562,000130,FALSE,334.40,,334.40,0,0.00,045020,001562,MG
,0750,C5H11NO2,000110463,,,S,,W,,AMYLNITRIET,001570,000000,TRUE,117.00,,117.00,0,0.00,001570,001570,ML
,0750,NaNO2,007632000,,,S,,B,,NATRIUMNITRIET,001589,001378,TRUE,69.00,,69.00,0,0.00,001589,001589,MG
,0750,Na2S2O3.5H2O,010102177,,,,,B,,NATRIUMTHIOSULFAAT 5-WATER,001597,001379,FALSE,248.20,,248.20,0,0.00,044962,001597,MG
,0750,MgO,001309484,,,S,,W,,MAGNESIUMOXIDE,001600,000132,TRUE,40.30,,40.30,0,0.00,001600,001600,MG
,0750,CuSO4.5H2O,007758998,,,,,B,,KOPER(II)SULFAAT 5-WATER,001619,000133,FALSE,249.70,,249.70,0,0.00,018619,001619,MG
,0750,C153H225N43O49S,016941325,,,S,,W,,GLUCAGON,001627,000134,TRUE,3482.80,,1.00,0,0.00,001627,001627,IE
,0750,C25H48N6O8.CH3SO3H,000138147,,,,,W,,DEFEROXAMINE MESILAAT,001635,000136,FALSE,656.80,,656.80,0,0.00,039292,001635,MG
,0750,C3H8OS2,000059529,,,S,,W,,DIMERCAPROL,001643,000000,TRUE,124.20,,124.20,0,0.00,001643,001643,MG
,0750,MgSO4.7H2O,010034998,,,,,B,,MAGNESIUMSULFAAT 7-WATER,001678,000139,FALSE,246.50,,246.50,0,0.00,018759,001678,MG
,0750,C10H12CaN2Na2O8.2H2O,000000000,,,,,B,,NATRIUMCALCIUMEDETAAT X-WATER,001686,000140,FALSE,410.30,,410.30,0,0.00,044741,001686,MG
,0750,C10H14N2Na2O8.2H2O,006381926,,,,,B,,EDETAAT DINATRIUM-2-WATER,001694,000224,FALSE,372.20,,372.20,0,0.00,059706,001694,MG
,0750,Na2SO4.10H2O,007727733,,,,,B,,NATRIUMSULFAAT 10-WATER,001716,000141,FALSE,322.20,,322.20,0,0.00,019127,001716,MG
,0750,C6H8O6,000050817,,,S,,B,,ASCORBINEZUUR,001724,000651,TRUE,176.10,,176.10,0,0.00,001724,001724,MG
,0750,C6H7NaO6,000134032,,,,,B,,ASCORBAAT NATRIUM,001732,000651,FALSE,198.10,,198.10,0,0.00,001724,001732,MG
,0750,C19H21NO3,000062679,,,S,,W,,NALORFINE,001759,000000,TRUE,311.37,,311.37,0,0.00,001759,001759,MG
,0750,C4H11N,000109897,,,S,,H,,DIETHYLAMINE,001775,000000,TRUE,73.14,,73.14,0,0.00,001775,001775,MG
,0750,C17H19N3O.CH3SO3H,000065281,,,,,W,,FENTOLAMINE MESILAAT,001783,000148,FALSE,377.80,,377.80,0,0.00,040835,001783,MG
,0750,,000000000,,,S,,B,,"KOOL, GEACTIVEERD",001791,000149,TRUE,0.00,,1.00,0,0.00,001791,001791,MG
,0750,C12H12N2O3,000050066,,1,S,,W,,FENOBARBITAL,001805,000150,TRUE,232.20,,232.20,0,0.00,001805,001805,MG
,0750,C12H11N2NaO3,000057307,,1,,,W,,FENOBARBITAL NATRIUM,001813,000150,FALSE,254.20,,254.20,0,0.00,001805,001813,MG
,0750,C12H14N2O2,000125337,,1,S,,W,,PRIMIDON,001848,000153,TRUE,218.30,,218.30,0,0.00,001848,001848,MG
,0750,C15H12N2O2,000057410,,1,S,,W,,FENYTOINE,001856,001381,TRUE,252.30,,252.30,0,0.00,001856,001856,MG
,0750,C15H11N2NaO2,000630933,,1,,,W,,FENYTOINE NATRIUM,001864,001381,FALSE,274.30,,274.30,0,0.00,001856,001864,MG
,0750,C20H21N3O4,000000000,,1,,,W,,FENYTOINE VALERAAT,001872,001381,FALSE,367.41,,367.41,0,0.00,001856,001872,MG
,0750,*C30H22N2O2Ca*,000000000,,1,,,W,,FENYTOINE CALCIUM,001880,001381,FALSE,542.70,1,271.40,0,0.00,001856,001880,MG
,0750,C12H14N2O2,000050124,,,S,,W,,MEFENYTOINE,001899,000000,TRUE,218.30,,218.30,0,0.00,001899,001899,MG
,0750,C7H11NO2,000077678,,1,S,,W,,ETHOSUXIMIDE,001910,000156,TRUE,141.20,,141.20,0,0.00,001910,001910,MG
,0750,C11H11NO2,000086340,,,S,,W,,FENSUXIMIDE,001929,000000,TRUE,189.20,,189.20,0,0.00,001929,001929,MG
,0750,C12H13NO2,000077418,,,S,,W,,MESUXIMIDE,001937,000158,TRUE,203.20,,203.20,0,0.00,001937,001937,MG
,0750,C6H9NO3,000127480,,,S,,W,,TRIMETHADION,001953,000161,TRUE,143.10,,143.10,0,0.00,001953,001953,MG
,0750,C9H10N2O2,000063989,,,S,,W,,FENACEMIDE,001961,000000,TRUE,178.20,,178.20,0,0.00,001961,001961,MG
,0750,C15H10ClN3O3,001622613,,1,S,,W,,CLONAZEPAM,001988,001610,TRUE,315.70,,315.70,0,0.00,001988,001988,MG
,0750,C16H13ClN2O,000439145,,1,S,,W,,DIAZEPAM,001996,000167,TRUE,284.70,,284.70,0,0.00,001996,001996,MG
,0750,,000106116,,,S,,H,,DIETHYLEENGLYCOLMONOSTEARAAT,002003,000000,TRUE,0.00,,0.00,0,0.00,002003,002003,MG
,0750,C15H12N2O,000298464,,1,S,,W,,CARBAMAZEPINE,002011,000166,TRUE,236.30,,236.30,0,0.00,002011,002011,MG
,0750,C10H14N2O4S2,000061563,,1,S,,W,,SULTIAM,002038,000168,TRUE,290.40,,290.40,0,0.00,002038,002038,MG
,0750,C8H16O2,000099661,,1,S,,W,,VALPROINEZUUR,002046,001470,TRUE,144.20,,144.20,0,0.00,002046,002046,MG
,0750,C8H15NaO2,001069665,,1,,,W,,VALPROAAT NATRIUM,002054,001470,FALSE,166.20,,166.20,0,0.00,002046,002054,MG
,0750,C16H19ClN2O.C4H4O4,003505382,,1,,,W,,CARBINOXAMINE WATERSTOFMALEAAT,002070,000000,FALSE,406.90,,406.90,0,0.00,037923,002070,MG
,0750,"C18H22ClNO,HCl",000562094,,1,,,W,,CHLOORFENOXAMINE HYDROCHLORIDE,002089,000000,FALSE,340.30,,340.30,0,0.00,038466,002089,MG
,0750,C17H21NO.C7H7ClN4O2,000523875,,1,,,W,,DIFENHYDRAMINE TEOCLAAT,002097,000000,FALSE,470.00,,470.00,0,0.00,039691,002097,MG
,0750,C17H21NO.HCl,000147240,,1,,,W,,DIFENHYDRAMINE HYDROCHLORIDE,002100,000000,FALSE,291.80,,291.80,0,0.00,039691,002100,MG
,0750,C19H24N2.HCl,006113173,,1,,,W,,HISTAPYRRODINE HYDROCHLORIDE,002127,000000,FALSE,316.90,,316.90,0,0.00,041696,002127,MG
,0750,C17H23N3O.HCl,006036959,,1,,,W,,MEPYRAMINE HYDROCHLORIDE,002135,000000,FALSE,294.84,,294.84,0,0.00,044105,002135,MG
,0750,C16H21N3.HCl,000154698,,1,,,W,,TRIPELENNAMINE HYDROCHLORIDE,002143,001386,FALSE,291.80,,291.80,0,0.00,049409,002143,MG
,0750,C28H33ClN2.2HCl,000129748,,1,,,W,,BUCLIZINE DIHYDROCHLORIDE,002151,000000,FALSE,506.00,,506.00,0,0.00,022306,002151,MG
,0750,C26H28N2,000298577,,1,S,,W,,CINNARIZINE,002178,000180,TRUE,368.50,,368.50,0,0.00,002178,002178,MG
,0750,C18H22N2.HCl,000303253,,1,,,W,,CYCLIZINE HYDROCHLORIDE,002186,000181,FALSE,302.80,,302.80,0,0.00,039136,002186,MG
,0750,C16H19BrN2.C4H4O4,000980712,,1,,,W,,BROOMFENIRAMINE WATERSTOFMALEAAT,002208,000000,FALSE,435.30,,435.30,0,0.00,037559,002208,MG
,0750,C16H19ClN2.C4H4O4,000113928,,1,,,W,,CHLOORFENAMINE WATERSTOFMALEAAT,002216,000000,FALSE,390.90,,390.90,0,0.00,038458,002216,MG
,0750,C16H19ClN2.C4H4O4,002438326,,1,,,W,,DEXCHLOORFENIRAMINE WATERSTOFMALEAAT,002224,002063,FALSE,390.90,,390.90,0,0.00,039446,002224,MG
,0750,C16H20N2.C4H4O4,000132207,,1,,,W,,FENIRAMINE WATERSTOFMALEAAT,002232,000000,FALSE,356.40,,356.40,0,0.00,040738,002232,MG
,0750,C12ClH19N4O7P2S,000154870,,,S,,W,,COCARBOXYLASE,002267,002178,TRUE,460.76,,460.76,0,0.00,002267,002267,MG
,0750,C18H22N2O2S.HCl,004784401,,1,,,W,,OXOMEMAZINE HYDROCHLORIDE,002283,000191,FALSE,366.90,,366.90,0,0.00,045586,002283,MG
,0750,C17H20N2S,000060877,,1,S,,W,,PROMETHAZINE,002291,000192,TRUE,284.40,,284.40,0,0.00,002291,002291,MG
,0750,C17H20N2S.HCl,000058333,,1,,,W,,PROMETHAZINE HYDROCHLORIDE,002305,000192,FALSE,320.90,,320.90,0,0.00,002291,002305,MG
,0750,C19H26N2O4S2,000058344,,,,,W,,THIAZINAMIUM METILSULFAAT,002313,000193,FALSE,410.50,,410.50,0,0.00,048844,002313,MG
,0750,C17H19N3.HCl,002508727,,1,,,W,,ANTAZOLINE HYDROCHLORIDE,002321,000000,FALSE,301.80,,301.80,0,0.00,036773,002321,MG
,0750,C17H19N3.H2SO4,024359817,,1,,,W,,ANTAZOLINE SULFAAT,002348,000000,FALSE,315.44,,315.44,0,0.00,036773,002348,MG
,0750,C19H24N2.2HCl,001229692,,,,,W,,BAMIPINE DIHYDROCHLORIDE,002356,000000,FALSE,353.30,,353.30,0,0.00,037079,002356,MG
,0750,C19H24N2.2(C3H6O3),061670095,,,,,W,,BAMIPINE DILACTAAT,002364,000000,FALSE,460.60,,460.60,0,0.00,037079,002364,MG
,0750,C21H26ClNO.C4H4O4,014976579,,1,,,W,,CLEMASTINE WATERSTOFFUMARAAT,002372,000195,FALSE,460.00,,460.00,0,0.00,038717,002372,MG
