"BSTNUM";"MUTKOD";"VERVALLEN";"BACKUPID";"ATCODE";"ATOMS";"ATOMSE";"ATKIND";"HGROEPCODE";"RZVClaim";"SourceCode"
"0801";"9";0;"";"3000-196";PQ-110-003;"";"";KGO;0;
"0801";"9";0;"";"19-0795";OV101-19-001 NEPTUNE;"";"";KGO;0;
"0801";"9";1;"";"8000-119";CA2098TT;"";"";"69-218";0;
"0801";"9";0;"";"19-0593";NETTER-2;"";"";KGO;0;
"0801";"9";1;"";"8000-118";"20190009";"";"";"69-218";0;
"0801";"9";0;"";"19-0655";CY 1031;"";"";KGO;0;
"0801";"9";1;"";"18-0801";"4010-03-001 TESARO Ruby";"";"";"69-218";0;
"0801";"9";0;"";"19-0801";"4010-03-001 TESARO Ruby";"";"";KGO;0;
"0801";"9";0;"";"19-0443";M14-675;"";"";KGO;0;
"0801";"0";0;"";J05AP02;TELAPREVIR;TELAPREVIR;"";J05AP;0;
"0801";"0";0;"";J05AP03;BOCEPREVIR;BOCEPREVIR;"";J05AP;0;
"0801";"0";0;"";J05AP04;FALDAPREVIR;FALDAPREVIR;"";J05AP;0;
"0801";"0";0;"";J05AP05;SIMEPREVIR;SIMEPREVIR;"";J05AP;0;
"0801";"0";0;"";J05AP06;ASUNAPREVIR;ASUNAPREVIR;"";J05AP;0;
"0801";"0";0;"";J05AP07;DACLATASVIR;DACLATASVIR;"";J05AP;0;
"0801";"0";0;"";J05AP08;SOFOSBUVIR;SOFOSBUVIR;"";J05AP;0;
"0801";"0";0;"";J05AP09;DASABUVIR;DASABUVIR;"";J05AP;0;
"0801";"0";0;"";J05AP51;SOFOSBUVIR MET LEDIPASVIR;SOFOSBUVIR AND LEDIPASVIR;"";J05AP;0;
"0801";"0";0;"";J05AP52;DASABUVIR MET OMBITASVIR, PARITAPREVIR EN RITONAVIR;DASABUVIR, OMBITASVIR, PARITAPREVIR AND RITONAVIR;"";J05AP;0;
"0801";"0";0;"";J05AP53;OMBITASVIR MET PARITAPREVIR EN RITONAVIR;OMBITASVIR, PARITAPREVIR AND RITONAVIR;"";J05AP;0;
"0801";"0";0;"";J05AP54;ELBASVIR MET GRAZOPREVIR;ELBASVIR AND GRAZOPREVIR;"";J05AP;0;
"0801";"0";0;"";J05AP55;SOFOSBUVIR MET VELPATASVIR;SOFOSBUVIR AND VELPATASVIR;"";J05AP;0;
"0801";"0";0;"";J05AP56;SOFOSBUVIR MET VELPATASVIR EN VOXILAPREVIR;SOFOSBUVIR, VELPATASVIR AND VOXILAPREVIR;"";J05AP;0;
"0801";"0";0;"";J05AR20;EMTRICITABINE MET TENOFOVIRALAFENAMIDE EN BICTEGRAVIR;EMTRICITABINE, TENOFOVIR ALAFENAMIDE AND BICTEGRAVIR;"";J05AR;0;
"0801";"0";0;"";J05AR21;DOLUTEGRAVIR MET RILPIVIRINE;DOLUTEGRAVIR AND RILPIVIRINE;"";J05AR;0;
"0801";"0";0;"";J05AR22;EMTRICITABINE, TENOFOVIRALAFENAMIDE, DARUNAVIR, COBICISTAT;EMTRICITABINE, TENOFOVIR ALAFENAMIDE, DARUNAVIR AND COBICISTAT;"";J05AR;0;
"0801";"1";1;"";J06BB22;OBILTOXAXIMAB;OBILTOXAXIMAB;"";J06BB;0;
"0801";"0";0;"";J07BK03;ZOSTER, GEZUIVERD ANTIGEEN;ZOSTER, PURIFIED ANTIGEN;"";J07BK;0;
"0801";"1";1;"";L01XC27;OLARATUMAB;OLARATUMAB;"";L01XC;0;
"0801";"1";1;"";L01XC28;DURVALUMAB;DURVALUMAB;"";L01XC;0;
"0801";"1";1;"";L01XC29;BERMEKIMAB;BERMEKIMAB;"";L01XC;0;
"0801";"0";0;"";L01XD07;PADELIPORFINE;PADELIPORFIN;"";L01XD;0;
"0801";"1";1;"";L01XE41;BINIMETINIB;BINIMETINIB;"";L01XE;0;
"0801";"1";1;"";L01XE42;RIBOCICLIB;RIBOCICLIB;"";L01XE;0;
"0801";"1";1;"";L01XE43;BRIGATINIB;BRIGATINIB;"";L01XE;0;
"0801";"1";1;"";L01XX54;NIRAPARIB;NIRAPARIB;"";L01XX;0;
"0801";"1";1;"";L01XX55;RUCAPARIB;RUCAPARIB;"";L01XX;0;
"0801";"1";1;"";L01XX56;ETIRINOTECAN PEGOL;ETIRINOTECAN PEGOL;"";L01XX;0;
"0801";"0";0;"";L01XX57;PLITIDEPSINE;PLITIDEPSIN;"";L01XX;0;
"0801";"0";0;"";L03AA17;PEGTEOGRASTIM;PEGTEOGRASTIM;"";L03AA;0;
"0801";"0";0;"";L03AB15;ROPEGINTERFERON ALFA-2B;ROPEGINTERFERON ALFA-2B;"";L03AB;0;
"0801";"0";0;"";L04AC15;SIRUKUMAB;SIRUKUMAB;"";L04AC;0;
"0801";"0";0;"";L04AC16;GUSELKUMAB;GUSELKUMAB;"";L04AC;0;
"0801";"0";0;"";M01AH07;POLMACOXIB;POLMACOXIB;"";M01AH;0;
"0801";"0";0;"";M05BX06;ROMOSOZUMAB;ROMOSOZUMAB;"";M05BX;0;
"0801";"0";0;"";M09AX06;ETEPLIRSEN;ETEPLIRSEN;"";M09AX;0;
"0801";"0";0;"";M09AX07;NUSINERSEN;NUSINERSEN;"";M09AX;0;
"0801";"0";0;"";N01BA53;TETRACAINE, COMBINATIEPREPARATEN;TETRACAINE, COMBINATIONS;"";N01BA;0;
"0801";"0";0;"";N02AA53;HYDROMORFON MET NALOXON;HYDROMORPHONE AND NALOXONE;"";N02AA;0;
"0801";"0";0;"";N02AA56;OXYCODON MET NALTREXON;OXYCODONE AND NALTREXONE;"";N02AA;0;
"0801";"1";1;"";N02CX07;ERENUMAB;ERENUMAB;"";N02CX;0;
"0801";"0";0;"";N04BX04;OPICAPON;OPICAPONE;"";N04BX;0;
"0801";"0";0;"";N05BX05;LAVENDELOLIE;LAVANDULAE AETHEROLEUM;"";N05BX;0;
"0801";"0";0;"";N05CM19;SUVOREXANT;SUVOREXANT;"";N05CM;0;
"0801";"0";0;"";N07BA04;CYTISINICLINE;CYTISINICLINE;"";N07BA;0;
"0801";"0";0;"";R02AX03;BENZYDAMINE;BENZYDAMINE;"";R02AX;0;
"0801";"0";0;"";R03AL08;VILANTEROL MET UMECLIDINIUMBROMIDE EN FLUTICASONFUROAAT;VILANTEROL, UMECLIDINIUM BROMIDE AND FLUTICASONE FUROATE;"";R03AL;0;
"0801";"0";0;"";R03AL09;FORMOTEROL MET GLYCOPYRRONIUMBROMIDE EN BECLOMETASON;FORMOTEROL, GLYCOPYRRONIUM BROMIDE AND BECLOMETASONE;"";R03AL;0;
"0801";"0";0;"";R03DA12;MEPYRAMINE-THEOFYLLINEACETAAT;MEPYRAMINE THEOPHYLLINACETATE;"";R03DA;0;
"0801";"0";0;"";R03DX10;BENRALIZUMAB;BENRALIZUMAB;"";R03DX;0;
"0801";"0";0;"";R07AX31;IVACAFTOR MET TEZACAFTOR;IVACAFTOR AND TEZACAFTOR;"";R07AX;0;
"0801";"0";0;"";S01EX05;NETARSUDIL;NETARSUDIL;"";S01EX;0;
"0801";"0";0;"";S01XA24;CENEGERMINE;CENEGERMIN;"";S01XA;0;
"0801";"0";0;"";S01XA25;LIFITEGRAST;LIFITEGRAST;"";S01XA;0;
"0801";"0";0;"";V03AB38;ANDEXANET ALFA;ANDEXANET ALFA;"";V03AB;0;
"0801";"0";0;"";V03AE10;NATRIUMZIRCONIUMCYCLOSILICAAT;SODIUM ZIRCONIUM CYCLOSILICATE;"";V03AE;0;
"0801";"0";0;"";V10XX04;LUTETIUM 177 LU OXODOTREOTIDE;LUTETIUM (177LU) OXODOTREOTIDE;"";V10XX;0;
"0801";"9";0;"";KGO;Klinisch geneesmiddelonderzoek;"";"";"";0;
"0801";"9";1;"";"17-186";M15-913;"";"";KGO;0;
"0801";"9";1;"";"17-1001";MK3475-412 (KEYNOTE);"";"";KGO;0;
"0801";"9";0;"";"15-607";PNS2014-01;"";"";KGO-2015;0;
"0801";"9";1;"";"18-1439";PCNSL01;"";"";KGO;0;
"0801";"9";1;"";"15-305";EORTC 1320-BTG;"";"";KGO-2015;0;
"0801";"9";0;"";"18-1070";BGB-290-104;"";"";KGO;0;
"0801";"9";0;"";"18-1433";EORTC-1709-BTG;"";"";KGO;0;
"0801";"9";0;"";"18-061";STEAM EORTC-1608;"";"";KGO;0;
"0801";"9";0;"";"17-225";STELLAR OT-15-001;"";"";KGO;0;
"0801";"9";1;"";"6000-086";Pat acc prog Nivolumab;"";"";KGO;0;
"0801";"9";0;"";"6000-087";PAP Durvalumab;"";"";KGO;0;
"0801";"9";0;"";"16-161";GO29436-B all comer;"";"";KGO;0;
"0801";"9";0;"";"15-485";PEMBRO-RT MK-3475-067 NKI-29-10-14;"";"";KGO-2015;0;
"0801";"9";0;"";"17-203";CA209-817 BMS 6;"";"";KGO;0;
"0801";"9";0;"";"17-309";Caspian D419QC00001;"";"";KGO;0;
"0801";"9";0;"";"16-440";BR.31 / NVALT 24 / IFCT1401;"";"";KGO;0;
"0801";"9";1;"";"16-122";CA-209-451 / BMS 5;"";"";KGO;0;
"0801";"9";0;"";"11-329";CLGK974X2101;"";"";KGO-2015;0;
"0801";"9";0;"";"16-415";CA209-548;"";"";KGO;0;
"0801";"0";0;"";A06AH05;NALDEMEDINE;NALDEMEDINE;"";A06AH;0;
"0801";"0";0;"";A07XA06;CROFELEMEER;CROFELEMER;"";A07XA;0;
"0801";"0";0;"";A10BD23;METFORMINE MET ERTUGLIFLOZINE;METFORMIN AND ERTUGLIFLOZIN;"";A10BD;0;
"0801";"0";0;"";A10BD24;SITAGLIPTINE MET ERTUGLIFLOZINE;SITAGLIPTIN AND ERTUGLIFLOZIN;"";A10BD;0;
"0801";"0";0;"";A10BD25;METFORMINE MET SAXAGLIPTINE EN DAPAGLIFLOZINE;METFORMIN, SAXAGLIPTIN AND DAPAGLIFLOZIN;"";A10BD;0;
"0801";"0";0;"";A10BH52;GEMIGLIPTINE MET ROSUVASTATINE;GEMIGLIPTIN AND ROSUVASTATIN;"";A10BH;0;
"0801";"0";0;"";A10BK04;ERTUGLIFLOZINE;ERTUGLIFLOZIN;"";A10BK;0;
"0801";"0";0;"";A10BK05;IPRAGLIFLOZINE;IPRAGLIFLOZIN;"";A10BK;0;
"0801";"0";0;"";A16AX15;TELOTRISTAT;TELOTRISTAT;"";A16AX;0;
"0801";"0";0;"";B01AX07;CAPLACIZUMAB;CAPLACIZUMAB;"";B01AX;0;
"0801";"0";0;"";B02BX07;LUSUTROMBOPAG;LUSUTROMBOPAG;"";B02BX;0;
"0801";"0";0;"";B02BX08;AVATROMBOPAG;AVATROMBOPAG;"";B02BX;0;
"0801";"0";0;"";B02BX09;FOSTAMATINIB;FOSTAMATINIB;"";B02BX;0;
"0801";"0";0;"";B03XA05;ROXADUSTAT;ROXADUSTAT;"";B03XA;0;
"0801";"0";0;"";B06AC05;LANADELUMAB;LANADELUMAB;"";B06AC;0;
"0801";"0";0;"";C01CX09;ANGIOTENSINE II;ANGIOTENSIN II;"";C01CX;0;
"0801";"0";0;"";C02KX52;AMBRISENTAN MET TADALAFIL;AMBRISENTAN AND TADALAFIL;"";C02KX;0;
"0801";"0";0;"";C09DX05;VALSARTAN MET NEBIVOLOL;VALSARTAN AND NEBIVOLOL;"";C09DX;0;
"0801";"0";0;"";C09DX06;CANDESARTAN MET AMLODIPINE EN HYDROCHLOORTHIAZIDE;CANDESARTAN, AMLODIPINE AND HYDROCHLOROTHIAZIDE;"";C09DX;0;
"0801";"0";0;"";D04AX01;DOXEPINE;DOXEPIN;"";D04AX;0;
"0801";"0";0;"";D10AD06;TRIFAROTEEN;TRIFAROTENE;"";D10AD;0;
"0801";"0";0;"";D11AH06;CRISABOROL;CRISABOROLE;"";D11AH;0;
"0801";"0";0;"";D11AX25;WATERSTOFPEROXIDE;HYDROGEN PEROXIDE;"";D11AX;0;
"0801";"0";0;"";G01AX17;DAPIVIRINE;DAPIVIRINE;"";G01AX;0;
"0801";"0";0;"";G02BB02;VAGINALE RING MET PROGESTAGEEN;VAGINAL RING WITH PROGESTOGEN;"";G02BB;0;
"0801";"0";0;"";G03AA17;ESTRADIOL MET MEDROXYPROGESTERON;MEDROXYPROGESTERONE AND ESTRADIOL;"";G03AA;0;
"0801";"0";0;"";G03AB09;ETHINYLESTRADIOL MET NORGESTIMAAT;NORGESTIMATE AND ETHINYLESTRADIOL;"";G03AB;0;
"0801";"0";0;"";G03XX;OVERIGE GESLACHTSHORMONEN EN MODULATOREN;OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;"";G03X;0;
"0801";"0";0;"";G03XX01;PRASTERON;PRASTERONE;"";G03XX;0;
"0801";"0";0;"";G04CX04;FEXAPOTIDE;FEXAPOTIDE;"";G04CX;0;
"0801";"0";0;"";J01AA13;ERAVACYCLINE;ERAVACYCLINE;"";J01AA;0;
"0801";"0";0;"";J01DD18;CEFTERAM;CEFTERAM;"";J01DD;0;
"0801";"0";0;"";J01DD64;CEFPODOXIM MET BETALACTAMASEREMMER;CEFPODOXIME AND BETA-LACTAMASE INHIBITOR;"";J01DD;0;
"0801";"0";0;"";J01DH06;TEBIPENEM PIVOXIL;TEBIPENEM PIVOXIL;"";J01DH;0;
"0801";"0";0;"";J01DH52;MEROPENEM MET VABORBACTAM;MEROPENEM AND VABORBACTAM;"";J01DH;0;
"0801";"0";0;"";J01MA22;TOSUFLOXACINE;TOSUFLOXACIN;"";J01MA;0;
"0801";"0";0;"";J01MA23;DELAFLOXACINE;DELAFLOXACIN;"";J01MA;0;
"0801";"0";0;"";J04AM07;RIFAMPICINE MET ETHAMBUTOL EN ISONIAZIDE;RIFAMPICIN, ETHAMBUTOL AND ISONIAZID;"";J04AM;0;
"0801";"0";0;"";J04AM08;ISONIAZIDE MET SULFAMETHOXAZOL, TRIMETHOPRIM EN PYRIDOXINE;ISONIAZID, SULFAMETHOXAZOLE, TRIMETHOPRIM AND PYRIDOXINE;"";J04AM;0;
"0801";"0";0;"";J05AG06;DORAVIRINE;DORAVIRINE;"";J05AG;0;
"0801";"0";0;"";J05AH03;PERAMIVIR;PERAMIVIR;"";J05AH;0;
"0801";"0";0;"";J05AP57;GLECAPREVIR MET PIBRENTASVIR;GLECAPREVIR AND PIBRENTASVIR;"";J05AP;0;
"0801";"0";0;"";J05AR23;ATAZANAVIR MET RITONAVIR;ATAZANAVIR AND RITONAVIR;"";J05AR;0;
"0801";"0";0;"";J05AR24;LAMIVUDINE MET TENOFOVIR DISOPROXIL EN DORAVIRINE;LAMIVUDINE, TENOFOVIR DISOPROXIL AND DORAVIRINE;"";J05AR;0;
"0801";"0";0;"";J05AX17;ENISAMIUM JODIDE;ENISAMIUM IODIDE;"";J05AX;0;
"0801";"0";0;"";J05AX18;LETERMOVIR;LETERMOVIR;"";J05AX;0;
"0801";"0";0;"";J05AX19;TILORON;TILORONE;"";J05AX;0;
"0801";"0";0;"";J05AX21;PENTAANDIOINEZUUR IMIDAZOLYL ETHAANAMIDE;PENTANEDIOIC ACID IMIDAZOLYL ETHANAMIDE;"";J05AX;0;
"0801";"0";0;"";J05AX23;IBALIZUMAB;IBALIZUMAB;"";J05AX;0;
"0801";"0";0;"";L01AD08;URAMUSTINE;URAMUSTINE;"";L01AD;0;
"0801";"0";0;"";L01BC09;FLOXURIDINE;FLOXURIDINE;"";L01BC;0;
"0801";"1";1;"";L01XC31;AVELUMAB;AVELUMAB;"";L01XC;0;
"0801";"1";1;"";L01XC32;ATEZOLIZUMAB;ATEZOLIZUMAB;"";L01XC;0;
"0801";"1";1;"";L01XE44;LORLATINIB;LORLATINIB;"";L01XE;0;
"0801";"1";1;"";L01XE45;NERATINIB;NERATINIB;"";L01XE;0;
"0801";"1";1;"";L01XE46;ENCORAFENIB;ENCORAFENIB;"";L01XE;0;
"0801";"1";1;"";L01XE47;DACOMITINIB;DACOMITINIB;"";L01XE;0;
"0801";"1";1;"";L01XE48;ICOTINIB;ICOTINIB;"";L01XE;0;
"0801";"1";1;"";L01XE50;ABEMACICLIB;ABEMACICLIB;"";L01XE;0;
"0801";"0";0;"";L01XX58;EPACADOSTAT;EPACADOSTAT;"";L01XX;0;
"0801";"0";0;"";L01XX59;ENASIDENIB;ENASIDENIB;"";L01XX;0;
"0801";"1";1;"";L01XX60;TALAZOPARIB;TALAZOPARIB;"";L01XX;0;
"0801";"1";1;"";L01XX61;COPANLISIB;COPANLISIB;"";L01XX;0;
"0801";"0";0;"";L01XY01;CYTARABINE MET DAUNORUBICINE;CYTARABINE AND DAUNORUBICIN;"";L01XY;0;
"0801";"0";0;"";L02AE51;LEUPRORELINE MET BICALUTAMIDE;LEUPRORELIN AND BICALUTAMIDE;"";L02AE;0;
"0801";"0";0;"";L02BB05;APALUTAMIDE;APALUTAMIDE;"";L02BB;0;
"0801";"0";0;"";L04AA38;OZANIMOD;OZANIMOD;"";L04AA;0;
"0801";"0";0;"";L04AA39;EMAPALUMAB;EMAPALUMAB;"";L04AA;0;
"0801";"0";0;"";L04AA40;CLADRIBINE;CLADRIBINE;"";L04AA;0;
"0801";"0";0;"";L04AC17;TILDRAKIZUMAB;TILDRAKIZUMAB;"";L04AC;0;
"0801";"0";0;"";L04AX07;DIMETHYLFUMARAAT;DIMETHYL FUMARATE;"";L04AX;0;
"0801";"0";0;"";M05BB09;IBANDRONINEZUUR MET COLECALCIFEROL;IBANDRONIC ACID AND COLECALCIFEROL;"";M05BB;0;
"0801";"1";1;"";N02CX08;GALCANEZUMAB;GALCANEZUMAB;"";N02CX;0;
"0801";"0";0;"";N03AX24;CANNABIDIOL;CANNABIDIOL;"";N03AX;0;
"0801";"0";0;"";N07XX12;PATISIRAN;PATISIRAN;"";N07XX;0;
"0801";"0";0;"";N07XX13;VALBENAZINE;VALBENAZINE;"";N07XX;0;
"0801";"0";0;"";N07XX14;EDARAVON;EDARAVONE;"";N07XX;0;
"0801";"0";0;"";P01CA03;FEXINIDAZOL;FEXINIDAZOLE;"";P01CA;0;
"0801";"0";0;"";R03CC63;CLENBUTEROL MET AMBROXOL;CLENBUTEROL AND AMBROXOL;"";R03CC;0;
"0801";"0";0;"";S01EX06;OMIDENEPAG;OMIDENEPAG;"";S01EX;0;
"0801";"0";0;"";S01XA26;RIBOFLAVINE;RIBOFLAVIN;"";S01XA;0;
"0801";"0";0;"";V04CX01;INDOCYANINEGROEN;INDOCYANINE GREEN;"";V04CX;0;
"0801";"9";1;"";"6000-074";Pat acc prog pembrolizumab;"";"";KGO;0;
"0801";"9";0;"";"2013-460";NF1-EXCEL (artikelen admi);"";"";KGO;0;
"0801";"9";0;"";"15-655";IMP321-P011;"";"";KGO-2015;0;
"0801";"9";0;"";"17-1119";NIR178 PDR001 / CNIR178X2201;"";"";KGO;0;
"0801";"9";0;"";"18-1069";OMO-1 / OMO1.01.02;"";"";KGO;0;
"0801";"9";1;"";"17-1008";ML2017-IO1 RESPONDER;"";"";KGO;0;
"0801";"9";0;"";"16-094";MEDI4736-NHL-001;"";"";KGO;0;
"0801";"9";0;"";"16-478";DARA / ATRA;"";"";KGO;0;
"0801";"9";0;"";"17-211";transplant BRaVE NHL / HOVON 136;"";"";KGO;0;
"0801";"9";0;"";"16-671";HOVON 135;"";"";KGO;0;
"0801";"9";0;"";"09-208";HOVON 89 / HOVON 89 MDS;"";"";KGO-2015;0;
"0801";"9";0;"";"10-122";HOVON 95 MM;"";"";KGO-2015;0;
"0801";"9";0;"";"15-750";HOVON 134 MF;"";"";KGO-2015;0;
"0801";"9";0;"";"17-1020";HOVON 141 CLL;"";"";KGO;0;
"0801";"9";0;"";"15-462";PRM-151G-101;"";"";KGO-2015;0;
"0801";"9";0;"";"15-370";CC-122;"";"";KGO-2015;0;
"0801";"9";0;"";"15-377";ACP-196 / ACE-LY-004;"";"";KGO-2015;0;
"0801";"9";0;"";"14-038";"20140106 CC-4047-MM-013";"";"";KGO-2015;0;
"0801";"9";1;"";"17-096";MCLA-117;"";"";KGO;0;
"0801";"9";0;"";"17-487";HOVON 147-FII;"";"";KGO;0;
"0801";"9";0;"";"15-686";ACE-CL-006;"";"";KGO-2015;0;
"0801";"9";1;"";"6000-08";ENASIDENIB NPP;"";"";"69-218";0;
"0801";"9";0;"";"17-1053";GBT440-031;"";"";KGO;0;
"0801";"9";0;"";"17-148";OP103 OCEAN;"";"";KGO;0;
"0801";"9";0;"";"14-646";Hovon 126;"";"";KGO-2015;0;
"0801";"9";0;"";"17-411";CA209-743;"";"";KGO;0;
"0801";"9";0;"";"6000-096";Pat acc prog Atezolizumab;"";"";KGO;0;
"0801";"9";1;"";"6000-097";NPP Rovalpituzumab tesirine;"";"";KGO;0;
"0801";"9";0;"";"18-059";KWF INTERACT;"";"";KGO;0;
"0801";"9";0;"";"6000-093";Masitinib (AB1010) NPP;"";"";KGO;0;
"0801";"9";0;"";"17-1070";ACTICCA-1;"";"";KGO;0;
"0801";"9";1;"";"6000-101";Pat acc prog Ipilimumab;"";"";KGO;0;
"0801";"9";0;"";"17-1184";CheckMate 914 / CA209-914;"";"";KGO;0;
"0801";"9";1;"";"6000-103";Comp use Olaparib;"";"";KGO;0;
"0801";"9";0;"";"18-1346";EMN14 APOLLO;"";"";KGO;0;
"0801";"9";0;"";"16-758";M15DRU / DRUP;"";"";KGO;0;
"0801";"9";0;"";"18-1252";G1T48-01;"";"";KGO;0;
"0801";"9";0;"";"16-625";CC-220-MM-001;"";"";KGO;0;
"0801";"9";0;"";"15-284";CC-4047-MM-007;"";"";KGO-2015;0;
"0801";"9";0;"";"18-145";ETAL-4 / HOVON-145;"";"";KGO;0;
"0801";"9";0;"";"18-138";CIRRUS 1/ CFZ533A2201;"";"";KGO;0;
"0801";"9";0;"";"18-131";CP-NVK002-0001;"";"";KGO;0;
"0801";"9";0;"";"18-106";FORZA/ NL61630.078.18;"";"";KGO;0;
"0801";"9";0;"";"18-095";HOVON 144 NHL PREBEN;"";"";KGO;0;
"0801";"9";1;"";"18-091";MACOTRA/ NL65791.078.18;"";"";KGO;0;
"0801";"9";0;"";"18-071";PPI study/ NL64821.078.18;"";"";KGO;0;
"0801";"9";0;"";"18-069";The Phe eat or diet study/ NL63107.078.18;"";"";KGO;0;
"0801";"9";0;"";"18-051";CZPL389A2203 (ZEST trial);"";"";KGO;0;
"0801";"9";0;"";"18-049";Pathfinder 8 NN7088-4410;"";"";KGO;0;
"0801";"9";0;"";"18-1290";PPI Shine Again;"";"";KGO;0;
"0801";"9";0;"";"18-043";BAX 111 rVWF in Pediatrics/ 071102;"";"";KGO;0;
"0801";"9";0;"";"18-031";TANGO/ GSK 204862;"";"";KGO;0;
"0801";"9";0;"";"18-017";GENMAB3013/ GCT3013-01;"";"";KGO;0;
"0801";"9";1;"";"18-160";ARC009;"";"";KGO;0;
"0801";"9";0;"";"17-561";LOGICS 39204 Strongbridge/ COR-2017-01;"";"";KGO;0;
"0801";"9";1;"";"17-555";PP-001-1001;"";"";KGO;0;
"0801";"9";1;"";"17-554";GS-US-418-4279;"";"";KGO;0;
