Excipient;Excipient (English);Chemical class;Functional category;Administration route;If po: bioavailability;Conclusion Ketoproof;Reviewer;Review date
EDETAAT DINATRIUM-2-WATER;EDETATE DISODIUM-2-WATER;Other;Chelating agent;;;Yes;Eva;28/12/2023
ERYTROSINE 1-WATER;ERYTHROSINE 1-WATER;Organoiodine compound;Colouring agent;;;Yes;Zikrullah;29/12/2023
ETHANOL;ETHANOL;Alcohol;Solvent;OCULAIR|TRANSDERMAAL|RECTAAL|OROMUCOSAAL|NIET VAN TOEPASSING|SUBLINGUAAL|ORAAL|NASAAL|PARENTERAAL,ORAAL|PARENTERAAL|DENTAAL|ORAAL, RECTAAL|NIET GESPECIFICEERD OF MEERVOUDIG|CUTAAN|INTRAVENEUS|INHALATIE;;No;Eva;28/12/2023
FOSFATIDYLCHOLINE;PHOSPHATIDYLCHOLINE;Lipids;Emollient;;;Yes;Zikrullah;29/12/2023
FOSFORZUUR;PHOSPHORIC ACID;Acids, Inorganic;;;;Yes;Pascale;02/01/2024
FRAMBOZENESSENCE;RASPBERRY ESSENCE;Ketone;Flavouring agent;;;Yes;Zikrullah;29/12/2023
GELATINE;GELATIN;;;;;Yes;Laura N;30/11/2023
AZORUBINE;AZORUBINE;Naphthalenes;Colouring agent;;<10%;Yes;Laura N;09/10/2023
BANANENESSENCE;BANANA ESSENCE;NA;Flavouring agent;;;Yes;Laura N;09/10/2023
GLUCOSE 0-WATER;GLUCOSE;Suiker;;;;No;Laura N;30/11/2023
BARNSTEENZUUR;Succinic acid;Organic acid;;;;No;Laura N;09/10/2023
BENZALKONIUM CHLORIDE;BENZALKONIUM CHLORIDE;Quaternary ammonium;Antimicrobial;Parenteraal alleen in follitropine en celestone, niet in gebruik bij kinderen;8% (oral);Yes;Laura N;09/10/2023
GLYCEROL;GLYCEROL/GLYCERINE;Suikeralcohol;;;;No;Laura N;30/11/2023
GLYCINE;GLYCINE;Amino acid;;;;Yes;Pascale;02/01/2024
BENZOEZUUR;BENZOIC ACID;Organic acid;;;;No;Laura N;09/10/2023
GLYCOFUROL;GLYCOFUROL;Polyethylene glycols;"Penetration agent; solvent";;;Yes;Zikrullah;05/01/2024
BENZYLALCOHOL;BENZYL ALCOHOL;Organic acid;;;;No;Laura N;09/10/2023
HYDROXYMETHAANSULFINAAT NATRIUM-0-WATER;HYDROXYMETHANESULFINATE SODIUM-0-WATER;Metal salts, organic acids;antioxidant;;;No;Zikrullah;05/01/2024
HYDROXYMETHAANSULFINAAT NATRIUM-2-WATER;HYDROXYMETHANESULFINATE SODIUM-2-WATER;Metal salts, organic acids;antioxidant;;;No;Zikrullah;05/01/2024
HYDROXYPROPYLBETADEX;HYDROXYPROPYLBETADEX;Carbohydrate, heptasaccharide;Complexing agent, dissolution enhancer, release-modifying agent;;;No;Zikrullah;05/01/2024
BOORZUUR;Boric Acid;Inorganic acid;Antimicrobial preservative, buffer;Voornamelijk oculair;;Yes;Laura N;09/10/2023
BORAX 10-WATER;BORAX 10-hydrate;Salt, inorganic acid ;"Alkalizing agent; antimicrobial preservative; buffering agent; disinfectant; emulsifying agent; stabilizing agent.";Voornamelijk oculair, IV/IM voor vaccinatie;;Yes;Laura N;09/10/2023
HYETELLOSE;Hydroxyethyl cellulose ;"Cellulose derivate; polysaccharide";"Coating agent, suspending agent; tablet binder; thickening agent; viscosity-increasing agent";;;Yes;Zikrullah;05/01/2024
HYPROMELLOSE;HYPROMELLOSE;"Cellulose derivate; polysaccharide";"Bioadhesive material; coating agent; dispersing agent; dissolution enhancer";;;Yes;Zikrullah;05/01/2024
ISOPROPANOL;ISOPROPANOL;Alcohol;;;;No;Zikrullah;02/02/2024
KALIUMDIWATERSTOFFOSFAAT;POTASSIUM DIHYDROGEN PHOSPHATE;Salt;Buffer;;;Yes;;
CALCIUMCARBONAAT;CALCIUM CARBONATE;Salt, inorganic acid;bulking agent;;;Yes;Gulcan/Laura N;27/12/2024
KALIUMHYDROXIDE;POTASSIUM HYDROXIDE;Inorganic salt;Base;;;Yes;;
LACTOSE;LACTOSE;Suiker;;;;No;Laura N;30/11/2023
LACTOSE 0-WATER;LACTOSE ;Suiker;;;;No;Laura N;30/11/2023
CALCIUMFOSFAAT;CALCIUM PHOSPHATE;Salt;diluent, fillers, binders and disintegrants;;;yes;Gulcan;
LACTOSE 1-WATER;LACTOSE monohydrate ;Suiker;;;;No;Laura N;30/11/2023
CALCIUMHYDROXIDE;CALCIUM HYDROXIDE;inoragnic;pH adjuster;;;yes;Gulcan;
CALCIUMSULFAAT 2-WATER;CALCIUM SULFATE 2-hydrate;mineral;filler, binder and disintegrant;;;yes;Gulcan;
MACROGOL;MACROGOL;Polymer (polyethylene glycol polymer);Laxative or emolient;;;Yes;Samir;
MACROGOL   (MOLECUULGEWICHT ONBEKEND);MACROGOL (MOLECULAR WEIGHT UNKNOWN);Polymer (polyethylene glycol polymer);Laxative or emolient;;;Yes;Samir;
MACROGOL   300;MACROGOL 300;Polymer (polyethylene glycol polymer);Laxative or emolient;;;Yes;Samir;
MACROGOL   400;MACROGOL 400;Polymer (polyethylene glycol polymer);Laxative or emolient;;;Yes;Samir;
CARBOXYMETHYLZETMEEL NATRIUM;CARBOXYMETHYL STARCH SODIUM;Zetmeel;Binder, disintegrant and thickener;Oraal, rectaal, vaginaal;;No;Gulcan;
CARMELLOSE NATRIUM;CARMELLOSE SODIUM;anionic polymeer/salt;thinkener, stabilizer, viscosity-increasing agent;;;Yes;Gulcan;
CARMELLOSE POLYMEER;CARMELLOSE POLYMER;anionic polymeer;thinkener, stabilizer, viscosity-increasing agent;;;Yes;Gulcan;
CELLULOSE, MICROKRISTALLIJN;CELLULOSE, MICROCRYSTALLINE;Carbohydrate;filler, binder, and disintegrant;;;Yes;Gulcan;
MACROGOL   600;MACROGOL 600;Polymer (polyethylene glycol polymer);Laxative or emolient;;;Yes;Samir;
MACROGOL  3350;MACROGOL 3350;Polymer (polyethylene glycol polymer);Laxative or emolient;;;Yes;Samir;
MACROGOL  4000;MACROGOL 4000;Polymer (polyethylene glycol polymer);Laxative or emolient;;;Yes;Samir;
MACROGOL  8000;MACROGOL 8000;Polymer (polyethylene glycol polymer);Laxative or emolient;;;Yes;Samir;
MELKEIWIT;MILK PROTEIN;Eiwit;;;;yes;Bregje Witjes;24/01/2024
MELKZUUR;LACTIC ACID;Hydroxy Acids;pH;;;NO;Bregje Witjes;24/01/2024
METHACRYLZUURCOPOLYMEREN;METHACRYLIC ACID COPOLYMERS;Copolymeer;film coating;;;Yes;Bregje Witjes;24/01/2024
CHOLESTEROL;CHOLESTEROL;Sterol (lipid);;;;Yes;Samir;10/06/2023
METHYLPARAHYDROXYBENZOAAT;METHYL PARAHYDROXYBENZOATE;Ester of 4-hydroxybenzoic acid with methanol;Antimicrobial ;;;No;Tim P;22/01/2024
MIDDELLANGEKETENTRIGLYCERIDEN;MEDIUM-CHAIN TRIGLYCERIDES;Triglyceriden;veelal werkzame stof;;;Yes;Bregje Witjes;24/01/2024
CITROENZUUR;CITRIC ACID;Organic acid;;;;No;Samir;10/06/2023
CITROENZUUR 0-WATER;CITRIC ACID ;Organic acid;;;;No;Samir;10/06/2023
CITROENZUUR 1-WATER;Citric Acid Monohydrate;Organic acid;;;;No;Samir;10/06/2023
MIRIPIRIUM CHLORIDE;MIRIPIRIUM CHLORIDE;Quaternary ammonium;Preservative;Parenteraal ;;Yes;Tim P;22/01/2024
NATRIUMACETAAT 0-WATER;SODIUM ACETATE 0-WATER;Salt, organic acid;Buffer;;;No;Bregje Witjes;24/01/2024
NATRIUMACETAAT 3-WATER;SODIUM ACETATE 3-WATER;Salt, organic acid;Buffer;;;No;Bregje Witjes;24/01/2024
NATRIUMCARBONAAT 0-WATER;SODIUM CARBONATE 0-WATER;Salt, inorganic acid;Buffer;;;Yes;Bregje Witjes/Laura N;27/12/2024
CYSTEINE;CYSTEINE;Aminoacid;;;;Yes;Samir;24/01/2024
NATRIUMCHLORIDE;SODIUM CHLORIDE;Metal, inorganic;Food additive, stabilizer, thickener;;;Yes;Tuan;24/01/2024
CYSTEINE HYDROCHLORIDE-1-WATER;CYSTEINE HYDROCHLORIDE-1-WATER;Aminoacid;;;;Yes;Samir;10/06/2023
NATRIUMCITRAAT;SODIUM CITRATE;Salt, organic acid;;;;No;Tuan;10/01/2024
NATRIUMCITRAAT 0-WATER;SODIUM CITRATE 0-WATER;Salt, organic acid;Buffer;;;No;Bregje Witjes;24/01/2024
NATRIUMCITRAAT 2-WATER;SODIUM CITRATE 2-WATER;Salt, organic acid;Buffer;;;No;Bregje Witjes;24/01/2024
NATRIUMDIWATERSTOFFOSFAAT 0-WATER;SODIUM DIHYDROGEN PHOSPHATE 0-WATER;Salt;Buffer;;;Yes;Bregje Witjes;24/01/2024
NATRIUMDIWATERSTOFFOSFAAT 1-WATER;SODIUM DIHYDROGEN PHOSPHATE 1-WATER;Salt;Buffer;;;Yes;Bregje Witjes;24/01/2024
NATRIUMDIWATERSTOFFOSFAAT 2-WATER;SODIUM DIHYDROGEN PHOSPHATE 2-WATER;Salt;Buffer;;;Yes;Bregje Witjes;24/01/2024
NATRIUMHYDROXIDE;SODIUM HYDROXIDE;Salt;pH;;;Yes;Bregje Witjes;24/01/2024
NATRIUMLACTAAT;SODIUM LACTATE;Organic acids, metal salts;;;;No;Tuan;10/01/2024
DIKALIUMWATERSTOFFOSFAAT;DIPOTASSIUM HYDROGEN PHOSPHATE;Salt;Buffer, stabilizer;;;Yes;Samir;10/06/2023
NATRIUMLAURYLSULFAAT;SODIUM LAURYL SULFATE;Salt;Buffer;;;Yes;Bregje Witjes;24/01/2024
NATRIUMMETABISULFIET;SODIUM METABISULFITE;Salt;Conservering;;;Yes;Bregje Witjes;24/01/2024
DIMETHYLSULFOXIDE;DIMETHYL SULFOXIDE;Organosulfur compound;Solvent;;;Yes;Samir;24/01/2024
DIMETICON;DIMETICON;;anti-foaming, surfectant;;None;Yes;Samir;10/06/2023
NATRIUMWATERSTOFCARBONAAT;SODIUM HYDROGEN CARBONATE;Salt, inorganic acid;Buffer;;;Yes;Bregje Witjes/Laura N;27/12/2024
OCTOXINOL 9;Octoxynol-9;Polyoxyethylenes;Surfactant;Oraal, oculair, parenteraal;;Yes;Tim P;24/01/2024
OLIEZUUR;OLIVE ACID;Oleic Acid;Emulsifier, skin penetrant;;;Yes;Tim P;24/01/2024
OVOLECITHINE;ovo- lecithin;;;;;Yes;Tim P;22/01/2024
PARAFFINE, VLOEIBAAR;KEROSENE, LIQUID;;;;;Yes;Tim P;22/01/2024
DINATRIUMWATERSTOFFOSFAAT 0-WATER;DISODIUM HYDROGEN PHOSPHATE 0-WATER;Inorganic salt;Buffer;;;Yes;Samir;10/06/2023
DINATRIUMWATERSTOFFOSFAAT 12-WATER;DISODIUM HYDROGEN PHOSPHATE 12-WATER;Inorganic salt;Buffer;;;Yes;Samir;10/06/2023
PARFUM, NIET GESPECIFICEERD;PERFUME, UNSPECIFIED;NA;;;;Yes;Laura N;30/11/2023
PEPERMUNTESSENCE;PEPPERMINT ESSENCE;;;;;Yes;Tim P;22/01/2024
POLOXAMEER;POLOXAMEER;? copolymeer van ethylene oxide en propylene oxide;;;;Yes;Tim P;22/01/2024
POLOXAMEER 188;POLOXAMEER 188;? copolymeer van ethylene oxide en propylene oxide;;;;Yes;Tim P;22/01/2024
POLOXAMEER 407;POLOXAMEER 407;? copolymeer van ethylene oxide en propylene oxide;;;;Yes;Tim P;22/01/2024
POLYLACTIDECOGLYCOLIDE;Poly lactide-co-glycolide;Aliphatic polyester;copolymer;;;No;Zikrullah;02/02/2024
POLYOXYETHYLEENGLYCEROLTRIRICINOLEAAT 35;POLYOXYETHYLENE GLYCEROL TRIRICINOLEATE 35;UVCB, polyethoxylated castor oil;Non-ionic surfactant, solubulization agent;Oraal, oculair, parenteraal, intra-uterien;;Yes;Zikrullah;02/02/2024
POLYSORBAAT 20;POLYSORBAATE 20;Polyoxyethylene sorbitan fatty acid ester;"Dispersing agent; emulsifying agent; nonionic surfactant; solubilizing agent; suspending agent; wetting agent";;;Yes;Tim P;22/01/2024
POLYSORBAAT 80;POLYSORBAATE 80;Polyoxyethylene sorbitan fatty acid ester;"Dispersing agent; emulsifying agent; nonionic surfactant; solubilizing agent; suspending agent; wetting agent";;;Yes;Tim P;22/01/2024
POVIDON;POVIDON;Polymer;"Disintegrant; dissolution enhancer; suspending agent; tablet binder. ";Met name oraal, ook parenteraal, oculair, transdermaal, rectaal, intraperitoneaal, intra-uterien, inhalatie. ;;Yes;Tim P;22/01/2024
PROPYLEENGLYCOL;PROPYLENE GLYCOL;;;;;No;Laura N;30/11/2023
PROPYLPARAHYDROXYBENZOAAT;PROPYL PARAHYDROXYBENZOATE;Paraben ester;Preservative;;;No;Zikrullah;02/02/2024
RICINUSOLIE, GEHYDROGENEERD;CASTOR OIL, HYDROGENATED;Plant oil;Emulsifier;;;Yes;Zikrullah;02/02/2024
SACCHARINE;SACCHARINE;;;;;Yes;Laura N;30/11/2023
SACCHAROSE;SACCHAROSE/Sucrose;Suiker;;;;No;Laura N;30/11/2023
SILICIUMDIOXIDE;SILICON DIOXIDE;Inorganic ;"Adsorbent; dispersing agent";;;Yes;Marit;07/02/2024
SOJALECITHINE;SOY LECITHIN;Lipid;Surfectant and emulsifier;;;Yes;Zikrullah;06/03/2024
SOJAOLIE, GEZUIVERD;SOYBEAN OIL, PURIFIED;Lipid;"Oleaginous vehicle; solvent";;;Yes;Zikrullah;06/03/2024
SORBITOL;SORBITOL;Sugar alcohol;antiseptic, cosolvens;;;No;Laura N;30/11/2023
STEARINEZUUR;STEARIC ACID;Unambiguous lipids / stearates;Surfactant;;;Yes;Dieuwertje;16/01/2024
STIKSTOF;NITROGEN;Toxic Gases & Vapors ;;;;Yes;Dieuwertje;16/01/2024
TALK;TALC;Mineral dust;;;;Yes;Dieuwertje;16/01/2024
TITAANDIOXIDE;titanium dioxide;Metal;;;;Yes;Dieuwertje;16/01/2024
TOCOFEROL, DL-ALFA-;TOCOPHEROL, D-ALPHA-;API;Unknown;"Antioxident; API";;Yes;Dieuwertje;16/01/2024
TRIACETINE;TRIACETIN;Ester > triglyceride;;;;Yes;Dieuwertje;16/01/2024
TRIETHYLCITRAAT;TRIETHYL CITRATE;Organic acid;"Plasticizer; solvent.";;;No;Zikrullah;06/03/2024
TRINATRIUMFOSFAAT;TRISODIUM PHOSPHATE;Metallic Salts;"Buffering agent; sequestering agent";;;Yes;Zikrullah;06/03/2024
TROMETAMOL;TROMETAMOL;Base;Buffer ;;;Yes;Zikrullah;06/03/2024
TYLOXAPOL;TYLOXAPOL;Polymer of the alkyl aryl polyether alcohol type;Surfactant;;;Yes;Manon den Uil;13/03/2024
VET, VAST;FAT, FIXED;Vet;;;;Yes;Laura N;30/11/2023
WATER VOOR INJECTIES;WATER FOR INJECTIONS;NA;;;;Yes;Laura N;30/11/2023
WATER, GEZUIVERD;WATER, PURIFIED;NA;;;;Yes;Laura N;30/11/2023
WATER, GEZUIVERD (GEDESTILLEERD);WATER, PURIFIED (DISTILLED);NA;;;;Yes;Laura N;30/11/2023
WIJNSTEENZUUR;WINE SOURCE;Organic acid;;;;No;Laura N;30/11/2023
XYLITOL;XYLITOL;Sugar alcohol;;;;No;Laura N;30/11/2023
ZINKOXIDE;ZINKOXIDE;Inorganic ;;;;Yes;Manon den Uil;13/03/2024
ZONNEGEEL;SUN SODIUM;Organic azo compound;Coloring agent;;;Yes;Marit;07/02/2024
ZOUTZUUR;HYDROCHLORIC ACID;Inorganic acid ;Acid;;;Yes;Manon den Uil;13/03/2024
ZWAVELZUUR;SULPHURIC ACID ;Inorganic acid ;Acid;;;Yes;Manon den Uil;13/03/2024
MACROGOL  1500;MACROGOL 1500;Osmotic laxative;water-soluble lubricant;Primarily rectal;;Yes;Zikrullah;11/12/2023
MAGNESIUMSTEARAAT;MAGNESIUM STEARATE;Stearates ;Emulsifier, lubricant and binder;Oral;;Yes;Zikrullah;11/12/2023
MAISZETMEEL;CORN STARCH;Organic polymer, polysacharide;Binder, disintegrant and thickening agent;Oral;;No;Zikrullah;11/12/2023
MANNITOL;MANNITOL;Sugar alcohol;Sweetening agent;Oral;> 20%;No;Zikrullah;11/12/2023
MEGLUMINE;Meglumine;Sugar alcohol;Counterion/pH-adjuster and solubilizing agent;Oral;;No;Zikrullah;11/12/2023
* GEEN CONSERVEERMIDDEL AANWEZIG;* NO PRESERVATIVE PRESENT;NA;;;;Yes;Laura N;16/06/2023
ACETYLTRYPTOFAAN, DL-;ACETYLTRYPTOPHAN, DL-;Amino acid;;;;Yes;Laura N;25/07/2023
ACETYLTRYPTOFAAN, DL- NATRIUM;ACETYLTRYPTOPHAN, DL- SODIUM;Amino acid;;;;Yes;Laura N;25/07/2023
ALUMINIUMFOSFAAT X-WATER;hydrated aluminium phosphate;Salt, inorganic;Vaccine adjuvant;"intramuscular; subcutanous";;Yes;Gulcan;24/08/2023
ALUMINIUMHYDROXYFOSFAATSULFAAT, AMORF;ALUMINUM HYDROXYPHOSPHATE SULFATE, AMORPHOUS;Aluminium salt and sulfuric acid;Vaccine adjuvant;"intramuscular; subcutanous";;Yes;Gulcan;24/08/2023
ADIPINEZUUR;ADIPIC ACID;Organic acid ;"Acidifying agent; buffering agent; flavoring agent.";;;No;Manon den Uil;28/03/2024
ALANINE;ALANINE;Amino acid ;;;;No;Manon den Uil;28/03/2024
ALBUMINE;ALBUMINE;Protein;"Stabilizing agent; therapeutic agent.";;;Yes;Manon den Uil;28/03/2024
AMANDELZUUR;MANDELIC ACID;Organic acid ;;;;No;Manon den Uil;28/03/2024
AMFOTERICINE B;AMPHOTERICIN B (API);API;;;;Yes;Manon den Uil;28/03/2024
AMINOBENZOAAT NATRIUM;AMINOBENZOATE SODIUM;Benzoic acid ;Vitamin;;;Yes;Manon den Uil;28/03/2024
AMINOZURENMENGSEL;AMINO ACID MIXTURE;Amino acid ;;;;No;Manon den Uil;28/03/2024
AMMONIUMACETAAT;AMMONIUM ACETATE;Salt, organic acid;Buffer;;;No;Manon den Uil;28/03/2024
AMMONIUMSULFAAT;AMMONIUM SULFATE;Salt, inorganic acid;Acidifying agent ;Cutaan, parenteraal voor PEGyleerde doxorubicine;;Yes;Manon den Uil;28/03/2024
ANTITROMBINE III;ANTITHROMBIN III (API);API;;;;Yes;Manon den Uil;28/03/2024
AS01B-ADJUVANS;AS01B-ADJUVANTS;Lipid;;;;Yes;Manon den Uil;28/03/2024
ASCORBYLPALMITAAT;ASCORBYL PALMITATE;Fatty acid ester;antioxidant ;;;No;Manon den Uil;28/03/2024
ASPARAGINE 1-WATER;ASPARAGINE 1-hydrate;Amino acid ;;;;No;Manon den Uil;28/03/2024
ASPARTINEZUUR;ASPARTIC ACID;Amino acid ;;;;No;Manon den Uil;28/03/2024
BARIUMSULFAAT;BARIUM SULFAAT;Salt, inorganic  ;Contrast agent;Intra-uterien, cement voor protheses;;Yes;Manon den Uil;28/03/2024
BENZEENSULFONZUUR;BENZENESULFONIC ACID;;;;;;;
BENZETHONIUM CHLORIDE;BENZETHONIUM CHLORIDE;;;;;;;
BENZOYLPEROXIDE;BENZOYL PEROXIDE;;;;;;;
BENZYLBENZOAAT;BENZYL BENZOATE;;;;;;;
BENZYLPENICILLINE NATRIUM;BENZYLPENICILLIN SODIUM;API;;;;Yes;Manon den Uil;28/03/2024
BIERGIST PREPARAAT;BREWER'S YEAST PREPARATION;Unknown or variable composition;API;;;Yes;Manon den Uil;18/04/2024
BUTEDRONAAT TETRANATRIUM;Butedronate tetrasodium;;;;;;;
CALCIUMACETAAT 0-WATER;CALCIUM ACETATE 0-WATER;Salt, organic acid;Buffer;;;No;Manon den Uil;28/03/2024
CALCIUMCHLORIDE 0-WATER;CALCIUM CHLORIDE 0-WATER;Metallic Salts;"Antimicrobial preservative; therapeutic agent; water-absorbing agent";;;Yes;Manon den Uil;28/03/2024
CALCIUMCHLORIDE 2-WATER;CALCIUM CHLORIDE 2-hydrate;Metallic Salts;"Antimicrobial preservative; therapeutic agent; water-absorbing agent";;;Yes;Manon den Uil;28/03/2024
CALCIUMGLUCEPTAAT;CALCIUM GLUCEPTATE;;;;;;;
CALCOBUTROL NATRIUM;CALCOBUTROL SODIUM;;;;;;;
CALDIAMIDE NATRIUM;CALDIAMIDE SODIUM;;;;;;;
CALOXETAAT TRINATRIUM;CALOXETATE TRISODIUM;;;;;;;
CALTERIDOL CALCIUM;CALCIUM CALTERIDOL;;;;;;;
CETRIMONIUM BROMIDE;CETRIMONIUM BROMIDE;;;;;;;
CHLOORBUTANOL;CHLOROBUTANOL;;;;;;;
CHLOORBUTANOL 0.5-WATER;CHLOROBUTANOL hemihydrate;;;;;;;
CHLOORBUTANOL 0-WATER;CHLOROBUTANOL;;;;;;;
CHLOORTETRACYCLINE HYDROCHLORIDE;CHLOROTETRACYCLINE HYDROCHLORIDE;;;;;;;
CHLOROFYL;CHLOROFYL;;;;;;;
CHOLESTEROL SULFAATNATRIUM;CHOLESTEROL SULFATE SODIUM;;;;;;;
CHROOMEDETAAT;CHROMIUM EDETATE;;;;;;;
COLFOSCERIL PALMITAAT;COLFOSCERIL PALMITATE;;;;;;;
CREATININE;CREATININE;;;;;;;
CRESOL, M-;CRESOL, M-;;;;;;;
CRYOSTOR CS10;CRYOSTOR CS10;;;;;;;
CYSTEINE HYDROCHLORIDE-0-WATER;CYSTEINE HYDROCHLORIDE-0-WATER;Salt, amino acid;;;;No;Manon den Uil;05/04/2024
DARATUMUMAB 1800 MG;DARATUMUMAB 1800 MG;API;;;;Yes;Manon den Uil;05/04/2024
DEOXYCHOLAAT NATRIUM;DEOXYCHOLATE SODIUM;;;;;;;
DESACYL-4-MONOFOSFORYLLIPIDE A, 3-O-;DESACYL-4-MONOPHOSPHORYL LIPID A, 3-O-;;Adjuvans;;;Yes;Manon den Uil;18/04/2024
DEXTRAN 40;DEXTRAN 40;Polysaccharide;;;;No;Manon den Uil;18/04/2024
DEXTRAN 70;DEXTRAN 70;Polysaccharide;;;;No;Manon den Uil;18/04/2024
DIERUCOYLFOSFATIDYLCHOLINE;DIERUCOYLPHOSPHATIDYLCHOLINE;;;;;;;
DIFTERIE-CRM197-EIWIT;DIPHTHERIA-CRM197 PROTEIN;;Adjuvans;;;Yes;Manon den Uil;18/04/2024
DIFTERIETOXOIDE;DIPHTHERIA TOXOID;API;;;;Yes;Manon den Uil;10/04/2024
DIMETHYLACEETAMIDE;DIMETHYLACETAMIDE;;;;;;;
DIMETHYLPARATOLUIDINE;DIMETHYL-P-TOLUIDINE;;;;;;;
DIMYRISTOYLFOSFATIDYLCHOLINE, L-ALFA;DIMYRISTOYLPHOSPHATIDYLCHOLINE, L-ALPHA;;;;;;;
DIMYRISTOYLFOSFATIDYLGLYCEROL, L-ALFA AMMONIUM;DIMYRISTOYLPHOSPHATIDYLGLYCEROL, L-ALPHA AMMONIUM;;;;;;;
DIMYRISTOYLFOSFATIDYLGLYCEROL, L-ALFA NATRIUM;DIMYRISTOYLPHOSPHATIDYLGLYCEROL, L-ALPHA SODIUM;;;;;;;
DINATRIUMSUCCINAAT;DISODIUM SUCCINATE;;;;;;;
DINATRIUMSUCCINAAT 6-WATER;DISODIUM SUCCINATE 6-WATER;;;;;;;
DINATRIUMWATERSTOFFOSFAAT 7-WATER;DISODIUM HYDROGEN PHOSPHATE 7-WATER;Salt ;Buffering agent;;;Yes;Manon den Uil;15/03/2024
DIOLEYLFOSFATIDYLCHOLINE;Dioleoylphosphatidylcholine;;;;;;;
DIOLEYLFOSFATIDYLSERINE NATRIUM;DIOLEYLPHOSPHATIDYLSERINE SODIUM;;;;;;;
DIPALMITOYLFOSFATIDYLGLYCEROL;DIPALMITOYLPHOSPHATIDYLGLYCEROL;;;;;;;
DIPALMITOYLFOSFATIDYLGLYCEROL NATRIUM;DIPALMITOYLPHOSPHATIDYLGLYCEROL SODIUM;;;;;;;
DISTEARYLFOSFATIDYLGLYCEROL;DISTEARYLPHOSPHATIDYLGLYCEROL;;;;;;;
DLIN-MC3-DMA;DLIN-MC3-DMA;;;;;;;
